,People,Age,Ethnicities,Wait Time,State
0,239,All Ages,White alone,All Time,Arkansas
1,21,All Ages,White alone,< 30 Days,Arkansas
2,37,All Ages,White alone,30 to < 90 Days,Arkansas
3,32,All Ages,White alone,90 Days to < 6 Months,Arkansas
4,50,All Ages,White alone,6 Months to < 1 Year,Arkansas
5,48,All Ages,White alone,1 Year to < 2 Years,Arkansas
6,15,All Ages,White alone,2 Years to < 3 Years,Arkansas
7,19,All Ages,White alone,3 Years to < 5 Years,Arkansas
8,17,All Ages,White alone,5 or More Years,Arkansas
9,184,All Ages,Black or African American alone,All Time,Arkansas
10,9,All Ages,Black or African American alone,< 30 Days,Arkansas
11,15,All Ages,Black or African American alone,30 to < 90 Days,Arkansas
12,23,All Ages,Black or African American alone,90 Days to < 6 Months,Arkansas
13,35,All Ages,Black or African American alone,6 Months to < 1 Year,Arkansas
14,44,All Ages,Black or African American alone,1 Year to < 2 Years,Arkansas
15,19,All Ages,Black or African American alone,2 Years to < 3 Years,Arkansas
16,27,All Ages,Black or African American alone,3 Years to < 5 Years,Arkansas
17,12,All Ages,Black or African American alone,5 or More Years,Arkansas
18,30,All Ages,Hispanic or Latino,All Time,Arkansas
19,2,All Ages,Hispanic or Latino,< 30 Days,Arkansas
20,2,All Ages,Hispanic or Latino,30 to < 90 Days,Arkansas
21,12,All Ages,Hispanic or Latino,90 Days to < 6 Months,Arkansas
22,3,All Ages,Hispanic or Latino,6 Months to < 1 Year,Arkansas
23,6,All Ages,Hispanic or Latino,1 Year to < 2 Years,Arkansas
24,2,All Ages,Hispanic or Latino,2 Years to < 3 Years,Arkansas
25,2,All Ages,Hispanic or Latino,3 Years to < 5 Years,Arkansas
26,1,All Ages,Hispanic or Latino,5 or More Years,Arkansas
27,11,All Ages,Asian alone,All Time,Arkansas
28,0,All Ages,Asian alone,< 30 Days,Arkansas
29,0,All Ages,Asian alone,30 to < 90 Days,Arkansas
30,0,All Ages,Asian alone,90 Days to < 6 Months,Arkansas
31,4,All Ages,Asian alone,6 Months to < 1 Year,Arkansas
32,1,All Ages,Asian alone,1 Year to < 2 Years,Arkansas
33,3,All Ages,Asian alone,2 Years to < 3 Years,Arkansas
34,2,All Ages,Asian alone,3 Years to < 5 Years,Arkansas
35,1,All Ages,Asian alone,5 or More Years,Arkansas
36,2,All Ages,American Indian and Alaska Native alone,All Time,Arkansas
37,0,All Ages,American Indian and Alaska Native alone,< 30 Days,Arkansas
38,0,All Ages,American Indian and Alaska Native alone,30 to < 90 Days,Arkansas
39,0,All Ages,American Indian and Alaska Native alone,90 Days to < 6 Months,Arkansas
40,1,All Ages,American Indian and Alaska Native alone,6 Months to < 1 Year,Arkansas
41,0,All Ages,American Indian and Alaska Native alone,1 Year to < 2 Years,Arkansas
42,1,All Ages,American Indian and Alaska Native alone,2 Years to < 3 Years,Arkansas
43,0,All Ages,American Indian and Alaska Native alone,3 Years to < 5 Years,Arkansas
44,0,All Ages,American Indian and Alaska Native alone,5 or More Years,Arkansas
45,2,All Ages,Native Hawaiian and Other Pacific Islander alone,All Time,Arkansas
46,0,All Ages,Native Hawaiian and Other Pacific Islander alone,< 30 Days,Arkansas
47,1,All Ages,Native Hawaiian and Other Pacific Islander alone,30 to < 90 Days,Arkansas
48,0,All Ages,Native Hawaiian and Other Pacific Islander alone,90 Days to < 6 Months,Arkansas
49,0,All Ages,Native Hawaiian and Other Pacific Islander alone,6 Months to < 1 Year,Arkansas
50,0,All Ages,Native Hawaiian and Other Pacific Islander alone,1 Year to < 2 Years,Arkansas
51,0,All Ages,Native Hawaiian and Other Pacific Islander alone,2 Years to < 3 Years,Arkansas
52,0,All Ages,Native Hawaiian and Other Pacific Islander alone,3 Years to < 5 Years,Arkansas
53,1,All Ages,Native Hawaiian and Other Pacific Islander alone,5 or More Years,Arkansas
54,17,All Ages,Population of two or more races:,All Time,Arkansas
55,0,All Ages,Population of two or more races:,< 30 Days,Arkansas
56,4,All Ages,Population of two or more races:,30 to < 90 Days,Arkansas
57,1,All Ages,Population of two or more races:,90 Days to < 6 Months,Arkansas
58,0,All Ages,Population of two or more races:,6 Months to < 1 Year,Arkansas
59,6,All Ages,Population of two or more races:,1 Year to < 2 Years,Arkansas
60,2,All Ages,Population of two or more races:,2 Years to < 3 Years,Arkansas
61,3,All Ages,Population of two or more races:,3 Years to < 5 Years,Arkansas
62,1,All Ages,Population of two or more races:,5 or More Years,Arkansas
63,3,0-5 Years,White alone,All Time,Arkansas
64,0,0-5 Years,White alone,< 30 Days,Arkansas
65,2,0-5 Years,White alone,30 to < 90 Days,Arkansas
66,0,0-5 Years,White alone,90 Days to < 6 Months,Arkansas
67,1,0-5 Years,White alone,6 Months to < 1 Year,Arkansas
68,0,0-5 Years,White alone,1 Year to < 2 Years,Arkansas
69,0,0-5 Years,White alone,2 Years to < 3 Years,Arkansas
70,0,0-5 Years,White alone,3 Years to < 5 Years,Arkansas
71,0,0-5 Years,White alone,5 or More Years,Arkansas
72,4,0-5 Years,Black or African American alone,All Time,Arkansas
73,1,0-5 Years,Black or African American alone,< 30 Days,Arkansas
74,0,0-5 Years,Black or African American alone,30 to < 90 Days,Arkansas
75,1,0-5 Years,Black or African American alone,90 Days to < 6 Months,Arkansas
76,1,0-5 Years,Black or African American alone,6 Months to < 1 Year,Arkansas
77,0,0-5 Years,Black or African American alone,1 Year to < 2 Years,Arkansas
78,1,0-5 Years,Black or African American alone,2 Years to < 3 Years,Arkansas
79,0,0-5 Years,Black or African American alone,3 Years to < 5 Years,Arkansas
80,0,0-5 Years,Hispanic or Latino,All Time,Arkansas
81,0,0-5 Years,Hispanic or Latino,< 30 Days,Arkansas
82,0,0-5 Years,Hispanic or Latino,30 to < 90 Days,Arkansas
83,0,0-5 Years,Hispanic or Latino,90 Days to < 6 Months,Arkansas
84,0,0-5 Years,Hispanic or Latino,6 Months to < 1 Year,Arkansas
85,0,0-5 Years,Hispanic or Latino,1 Year to < 2 Years,Arkansas
86,0,0-5 Years,Hispanic or Latino,2 Years to < 3 Years,Arkansas
87,0,0-5 Years,Hispanic or Latino,3 Years to < 5 Years,Arkansas
88,0,0-5 Years,Hispanic or Latino,5 or More Years,Arkansas
89,0,0-5 Years,Asian alone,All Time,Arkansas
90,0,0-5 Years,Asian alone,< 30 Days,Arkansas
91,0,0-5 Years,Asian alone,30 to < 90 Days,Arkansas
92,0,0-5 Years,Asian alone,90 Days to < 6 Months,Arkansas
93,0,0-5 Years,Asian alone,6 Months to < 1 Year,Arkansas
94,0,0-5 Years,Asian alone,1 Year to < 2 Years,Arkansas
95,0,0-5 Years,Asian alone,2 Years to < 3 Years,Arkansas
96,0,0-5 Years,Asian alone,3 Years to < 5 Years,Arkansas
97,0,0-5 Years,American Indian and Alaska Native alone,All Time,Arkansas
98,0,0-5 Years,American Indian and Alaska Native alone,< 30 Days,Arkansas
99,0,0-5 Years,American Indian and Alaska Native alone,30 to < 90 Days,Arkansas
100,0,0-5 Years,American Indian and Alaska Native alone,90 Days to < 6 Months,Arkansas
101,0,0-5 Years,American Indian and Alaska Native alone,6 Months to < 1 Year,Arkansas
102,0,0-5 Years,American Indian and Alaska Native alone,1 Year to < 2 Years,Arkansas
103,0,0-5 Years,Native Hawaiian and Other Pacific Islander alone,All Time,Arkansas
104,0,0-5 Years,Native Hawaiian and Other Pacific Islander alone,6 Months to < 1 Year,Arkansas
