,People,Age,Ethnicities,Wait Time,State
0,606,All Ages,White alone,All Time,Connecticut
1,26,All Ages,White alone,< 30 Days,Connecticut
2,57,All Ages,White alone,30 to < 90 Days,Connecticut
3,54,All Ages,White alone,90 Days to < 6 Months,Connecticut
4,102,All Ages,White alone,6 Months to < 1 Year,Connecticut
5,137,All Ages,White alone,1 Year to < 2 Years,Connecticut
6,80,All Ages,White alone,2 Years to < 3 Years,Connecticut
7,88,All Ages,White alone,3 Years to < 5 Years,Connecticut
8,62,All Ages,White alone,5 or More Years,Connecticut
9,374,All Ages,Black or African American alone,All Time,Connecticut
10,9,All Ages,Black or African American alone,< 30 Days,Connecticut
11,20,All Ages,Black or African American alone,30 to < 90 Days,Connecticut
12,37,All Ages,Black or African American alone,90 Days to < 6 Months,Connecticut
13,57,All Ages,Black or African American alone,6 Months to < 1 Year,Connecticut
14,90,All Ages,Black or African American alone,1 Year to < 2 Years,Connecticut
15,48,All Ages,Black or African American alone,2 Years to < 3 Years,Connecticut
16,64,All Ages,Black or African American alone,3 Years to < 5 Years,Connecticut
17,49,All Ages,Black or African American alone,5 or More Years,Connecticut
18,209,All Ages,Hispanic or Latino,All Time,Connecticut
19,7,All Ages,Hispanic or Latino,< 30 Days,Connecticut
20,15,All Ages,Hispanic or Latino,30 to < 90 Days,Connecticut
21,24,All Ages,Hispanic or Latino,90 Days to < 6 Months,Connecticut
22,27,All Ages,Hispanic or Latino,6 Months to < 1 Year,Connecticut
23,52,All Ages,Hispanic or Latino,1 Year to < 2 Years,Connecticut
24,34,All Ages,Hispanic or Latino,2 Years to < 3 Years,Connecticut
25,34,All Ages,Hispanic or Latino,3 Years to < 5 Years,Connecticut
26,16,All Ages,Hispanic or Latino,5 or More Years,Connecticut
27,70,All Ages,Asian alone,All Time,Connecticut
28,1,All Ages,Asian alone,< 30 Days,Connecticut
29,5,All Ages,Asian alone,30 to < 90 Days,Connecticut
30,7,All Ages,Asian alone,90 Days to < 6 Months,Connecticut
31,10,All Ages,Asian alone,6 Months to < 1 Year,Connecticut
32,18,All Ages,Asian alone,1 Year to < 2 Years,Connecticut
33,10,All Ages,Asian alone,2 Years to < 3 Years,Connecticut
34,11,All Ages,Asian alone,3 Years to < 5 Years,Connecticut
35,8,All Ages,Asian alone,5 or More Years,Connecticut
36,2,All Ages,American Indian and Alaska Native alone,All Time,Connecticut
37,0,All Ages,American Indian and Alaska Native alone,< 30 Days,Connecticut
38,0,All Ages,American Indian and Alaska Native alone,30 to < 90 Days,Connecticut
39,0,All Ages,American Indian and Alaska Native alone,90 Days to < 6 Months,Connecticut
40,0,All Ages,American Indian and Alaska Native alone,6 Months to < 1 Year,Connecticut
41,0,All Ages,American Indian and Alaska Native alone,1 Year to < 2 Years,Connecticut
42,1,All Ages,American Indian and Alaska Native alone,2 Years to < 3 Years,Connecticut
43,1,All Ages,American Indian and Alaska Native alone,3 Years to < 5 Years,Connecticut
44,0,All Ages,American Indian and Alaska Native alone,5 or More Years,Connecticut
45,1,All Ages,Native Hawaiian and Other Pacific Islander alone,All Time,Connecticut
46,0,All Ages,Native Hawaiian and Other Pacific Islander alone,< 30 Days,Connecticut
47,0,All Ages,Native Hawaiian and Other Pacific Islander alone,30 to < 90 Days,Connecticut
48,0,All Ages,Native Hawaiian and Other Pacific Islander alone,90 Days to < 6 Months,Connecticut
49,0,All Ages,Native Hawaiian and Other Pacific Islander alone,6 Months to < 1 Year,Connecticut
50,0,All Ages,Native Hawaiian and Other Pacific Islander alone,1 Year to < 2 Years,Connecticut
51,0,All Ages,Native Hawaiian and Other Pacific Islander alone,2 Years to < 3 Years,Connecticut
52,1,All Ages,Native Hawaiian and Other Pacific Islander alone,3 Years to < 5 Years,Connecticut
53,0,All Ages,Native Hawaiian and Other Pacific Islander alone,5 or More Years,Connecticut
54,23,All Ages,Population of two or more races:,All Time,Connecticut
55,2,All Ages,Population of two or more races:,< 30 Days,Connecticut
56,2,All Ages,Population of two or more races:,30 to < 90 Days,Connecticut
57,1,All Ages,Population of two or more races:,90 Days to < 6 Months,Connecticut
58,3,All Ages,Population of two or more races:,6 Months to < 1 Year,Connecticut
59,4,All Ages,Population of two or more races:,1 Year to < 2 Years,Connecticut
60,6,All Ages,Population of two or more races:,2 Years to < 3 Years,Connecticut
61,3,All Ages,Population of two or more races:,3 Years to < 5 Years,Connecticut
62,2,All Ages,Population of two or more races:,5 or More Years,Connecticut
63,2,0-5 Years,White alone,All Time,Connecticut
64,0,0-5 Years,White alone,< 30 Days,Connecticut
65,1,0-5 Years,White alone,30 to < 90 Days,Connecticut
66,1,0-5 Years,White alone,90 Days to < 6 Months,Connecticut
67,0,0-5 Years,White alone,6 Months to < 1 Year,Connecticut
68,0,0-5 Years,White alone,1 Year to < 2 Years,Connecticut
69,0,0-5 Years,White alone,2 Years to < 3 Years,Connecticut
70,0,0-5 Years,White alone,3 Years to < 5 Years,Connecticut
71,0,0-5 Years,White alone,5 or More Years,Connecticut
72,0,0-5 Years,Black or African American alone,All Time,Connecticut
73,0,0-5 Years,Black or African American alone,< 30 Days,Connecticut
74,0,0-5 Years,Black or African American alone,30 to < 90 Days,Connecticut
75,0,0-5 Years,Black or African American alone,90 Days to < 6 Months,Connecticut
76,0,0-5 Years,Black or African American alone,6 Months to < 1 Year,Connecticut
77,0,0-5 Years,Black or African American alone,1 Year to < 2 Years,Connecticut
78,0,0-5 Years,Black or African American alone,2 Years to < 3 Years,Connecticut
79,0,0-5 Years,Black or African American alone,3 Years to < 5 Years,Connecticut
80,3,0-5 Years,Hispanic or Latino,All Time,Connecticut
81,0,0-5 Years,Hispanic or Latino,< 30 Days,Connecticut
82,0,0-5 Years,Hispanic or Latino,30 to < 90 Days,Connecticut
83,0,0-5 Years,Hispanic or Latino,90 Days to < 6 Months,Connecticut
84,0,0-5 Years,Hispanic or Latino,6 Months to < 1 Year,Connecticut
85,3,0-5 Years,Hispanic or Latino,1 Year to < 2 Years,Connecticut
86,0,0-5 Years,Hispanic or Latino,2 Years to < 3 Years,Connecticut
87,0,0-5 Years,Hispanic or Latino,3 Years to < 5 Years,Connecticut
88,0,0-5 Years,Hispanic or Latino,5 or More Years,Connecticut
89,0,0-5 Years,Asian alone,All Time,Connecticut
90,0,0-5 Years,Asian alone,< 30 Days,Connecticut
91,0,0-5 Years,Asian alone,30 to < 90 Days,Connecticut
92,0,0-5 Years,Asian alone,90 Days to < 6 Months,Connecticut
93,0,0-5 Years,Asian alone,6 Months to < 1 Year,Connecticut
94,0,0-5 Years,Asian alone,1 Year to < 2 Years,Connecticut
95,0,0-5 Years,Asian alone,2 Years to < 3 Years,Connecticut
96,0,0-5 Years,Asian alone,3 Years to < 5 Years,Connecticut
97,0,0-5 Years,American Indian and Alaska Native alone,All Time,Connecticut
98,0,0-5 Years,American Indian and Alaska Native alone,< 30 Days,Connecticut
99,0,0-5 Years,American Indian and Alaska Native alone,30 to < 90 Days,Connecticut
100,0,0-5 Years,American Indian and Alaska Native alone,90 Days to < 6 Months,Connecticut
101,0,0-5 Years,American Indian and Alaska Native alone,6 Months to < 1 Year,Connecticut
102,0,0-5 Years,American Indian and Alaska Native alone,1 Year to < 2 Years,Connecticut
103,0,0-5 Years,Native Hawaiian and Other Pacific Islander alone,All Time,Connecticut
104,0,0-5 Years,Native Hawaiian and Other Pacific Islander alone,6 Months to < 1 Year,Connecticut
105,0,0-5 Years,Native Hawaiian and Other Pacific Islander alone,1 Year to < 2 Years,Connecticut
106,0,0-5 Years,Population of two or more races:,All Time,Connecticut
107,0,0-5 Years,Population of two or more races:,< 30 Days,Connecticut
108,0,0-5 Years,Population of two or more races:,30 to < 90 Days,Connecticut
109,0,0-5 Years,Population of two or more races:,90 Days to < 6 Months,Connecticut
110,0,0-5 Years,Population of two or more races:,6 Months to < 1 Year,Connecticut
111,0,0-5 Years,Population of two or more races:,1 Year to < 2 Years,Connecticut
112,0,0-5 Years,Population of two or more races:,2 Years to < 3 Years,Connecticut
113,1,6-10 Years,White alone,All Time,Connecticut
