,People,Age,Ethnicities,Wait Time,State
0,"2,141",All Ages,White alone,All Time,Florida
1,168,All Ages,White alone,< 30 Days,Florida
2,274,All Ages,White alone,30 to < 90 Days,Florida
3,269,All Ages,White alone,90 Days to < 6 Months,Florida
4,409,All Ages,White alone,6 Months to < 1 Year,Florida
5,441,All Ages,White alone,1 Year to < 2 Years,Florida
6,236,All Ages,White alone,2 Years to < 3 Years,Florida
7,233,All Ages,White alone,3 Years to < 5 Years,Florida
8,111,All Ages,White alone,5 or More Years,Florida
9,"1,734",All Ages,Black or African American alone,All Time,Florida
10,99,All Ages,Black or African American alone,< 30 Days,Florida
11,150,All Ages,Black or African American alone,30 to < 90 Days,Florida
12,211,All Ages,Black or African American alone,90 Days to < 6 Months,Florida
13,303,All Ages,Black or African American alone,6 Months to < 1 Year,Florida
14,345,All Ages,Black or African American alone,1 Year to < 2 Years,Florida
15,220,All Ages,Black or African American alone,2 Years to < 3 Years,Florida
16,266,All Ages,Black or African American alone,3 Years to < 5 Years,Florida
17,140,All Ages,Black or African American alone,5 or More Years,Florida
18,953,All Ages,Hispanic or Latino,All Time,Florida
19,77,All Ages,Hispanic or Latino,< 30 Days,Florida
20,135,All Ages,Hispanic or Latino,30 to < 90 Days,Florida
21,103,All Ages,Hispanic or Latino,90 Days to < 6 Months,Florida
22,179,All Ages,Hispanic or Latino,6 Months to < 1 Year,Florida
23,185,All Ages,Hispanic or Latino,1 Year to < 2 Years,Florida
24,97,All Ages,Hispanic or Latino,2 Years to < 3 Years,Florida
25,133,All Ages,Hispanic or Latino,3 Years to < 5 Years,Florida
26,44,All Ages,Hispanic or Latino,5 or More Years,Florida
27,247,All Ages,Asian alone,All Time,Florida
28,16,All Ages,Asian alone,< 30 Days,Florida
29,26,All Ages,Asian alone,30 to < 90 Days,Florida
30,29,All Ages,Asian alone,90 Days to < 6 Months,Florida
31,49,All Ages,Asian alone,6 Months to < 1 Year,Florida
32,55,All Ages,Asian alone,1 Year to < 2 Years,Florida
33,22,All Ages,Asian alone,2 Years to < 3 Years,Florida
34,39,All Ages,Asian alone,3 Years to < 5 Years,Florida
35,11,All Ages,Asian alone,5 or More Years,Florida
36,15,All Ages,American Indian and Alaska Native alone,All Time,Florida
37,2,All Ages,American Indian and Alaska Native alone,< 30 Days,Florida
38,2,All Ages,American Indian and Alaska Native alone,30 to < 90 Days,Florida
39,3,All Ages,American Indian and Alaska Native alone,90 Days to < 6 Months,Florida
40,2,All Ages,American Indian and Alaska Native alone,6 Months to < 1 Year,Florida
41,2,All Ages,American Indian and Alaska Native alone,1 Year to < 2 Years,Florida
42,1,All Ages,American Indian and Alaska Native alone,2 Years to < 3 Years,Florida
43,2,All Ages,American Indian and Alaska Native alone,3 Years to < 5 Years,Florida
44,1,All Ages,American Indian and Alaska Native alone,5 or More Years,Florida
45,9,All Ages,Native Hawaiian and Other Pacific Islander alone,All Time,Florida
46,0,All Ages,Native Hawaiian and Other Pacific Islander alone,< 30 Days,Florida
47,2,All Ages,Native Hawaiian and Other Pacific Islander alone,30 to < 90 Days,Florida
48,1,All Ages,Native Hawaiian and Other Pacific Islander alone,90 Days to < 6 Months,Florida
49,1,All Ages,Native Hawaiian and Other Pacific Islander alone,6 Months to < 1 Year,Florida
50,1,All Ages,Native Hawaiian and Other Pacific Islander alone,1 Year to < 2 Years,Florida
51,3,All Ages,Native Hawaiian and Other Pacific Islander alone,2 Years to < 3 Years,Florida
52,0,All Ages,Native Hawaiian and Other Pacific Islander alone,3 Years to < 5 Years,Florida
53,1,All Ages,Native Hawaiian and Other Pacific Islander alone,5 or More Years,Florida
54,35,All Ages,Population of two or more races:,All Time,Florida
55,4,All Ages,Population of two or more races:,< 30 Days,Florida
56,3,All Ages,Population of two or more races:,30 to < 90 Days,Florida
57,4,All Ages,Population of two or more races:,90 Days to < 6 Months,Florida
58,4,All Ages,Population of two or more races:,6 Months to < 1 Year,Florida
59,8,All Ages,Population of two or more races:,1 Year to < 2 Years,Florida
60,3,All Ages,Population of two or more races:,2 Years to < 3 Years,Florida
61,8,All Ages,Population of two or more races:,3 Years to < 5 Years,Florida
62,1,All Ages,Population of two or more races:,5 or More Years,Florida
63,19,0-5 Years,White alone,All Time,Florida
64,0,0-5 Years,White alone,< 30 Days,Florida
65,5,0-5 Years,White alone,30 to < 90 Days,Florida
66,3,0-5 Years,White alone,90 Days to < 6 Months,Florida
67,3,0-5 Years,White alone,6 Months to < 1 Year,Florida
68,4,0-5 Years,White alone,1 Year to < 2 Years,Florida
69,3,0-5 Years,White alone,2 Years to < 3 Years,Florida
70,1,0-5 Years,White alone,3 Years to < 5 Years,Florida
71,0,0-5 Years,White alone,5 or More Years,Florida
72,11,0-5 Years,Black or African American alone,All Time,Florida
73,1,0-5 Years,Black or African American alone,< 30 Days,Florida
74,3,0-5 Years,Black or African American alone,30 to < 90 Days,Florida
75,3,0-5 Years,Black or African American alone,90 Days to < 6 Months,Florida
76,0,0-5 Years,Black or African American alone,6 Months to < 1 Year,Florida
77,1,0-5 Years,Black or African American alone,1 Year to < 2 Years,Florida
78,3,0-5 Years,Black or African American alone,2 Years to < 3 Years,Florida
79,0,0-5 Years,Black or African American alone,3 Years to < 5 Years,Florida
80,13,0-5 Years,Hispanic or Latino,All Time,Florida
81,4,0-5 Years,Hispanic or Latino,< 30 Days,Florida
82,1,0-5 Years,Hispanic or Latino,30 to < 90 Days,Florida
83,0,0-5 Years,Hispanic or Latino,90 Days to < 6 Months,Florida
84,1,0-5 Years,Hispanic or Latino,6 Months to < 1 Year,Florida
85,4,0-5 Years,Hispanic or Latino,1 Year to < 2 Years,Florida
86,3,0-5 Years,Hispanic or Latino,2 Years to < 3 Years,Florida
87,0,0-5 Years,Hispanic or Latino,3 Years to < 5 Years,Florida
88,0,0-5 Years,Hispanic or Latino,5 or More Years,Florida
89,0,0-5 Years,Asian alone,All Time,Florida
90,0,0-5 Years,Asian alone,< 30 Days,Florida
91,0,0-5 Years,Asian alone,30 to < 90 Days,Florida
92,0,0-5 Years,Asian alone,90 Days to < 6 Months,Florida
93,0,0-5 Years,Asian alone,6 Months to < 1 Year,Florida
94,0,0-5 Years,Asian alone,1 Year to < 2 Years,Florida
95,0,0-5 Years,Asian alone,2 Years to < 3 Years,Florida
96,0,0-5 Years,Asian alone,3 Years to < 5 Years,Florida
97,2,0-5 Years,American Indian and Alaska Native alone,All Time,Florida
98,1,0-5 Years,American Indian and Alaska Native alone,< 30 Days,Florida
99,0,0-5 Years,American Indian and Alaska Native alone,30 to < 90 Days,Florida
100,1,0-5 Years,American Indian and Alaska Native alone,90 Days to < 6 Months,Florida
101,0,0-5 Years,American Indian and Alaska Native alone,6 Months to < 1 Year,Florida
102,0,0-5 Years,American Indian and Alaska Native alone,1 Year to < 2 Years,Florida
103,1,0-5 Years,Native Hawaiian and Other Pacific Islander alone,All Time,Florida
104,1,0-5 Years,Native Hawaiian and Other Pacific Islander alone,6 Months to < 1 Year,Florida
105,0,0-5 Years,Native Hawaiian and Other Pacific Islander alone,1 Year to < 2 Years,Florida
106,1,0-5 Years,Population of two or more races:,All Time,Florida
107,0,0-5 Years,Population of two or more races:,< 30 Days,Florida
108,1,0-5 Years,Population of two or more races:,30 to < 90 Days,Florida
109,0,0-5 Years,Population of two or more races:,90 Days to < 6 Months,Florida
110,0,0-5 Years,Population of two or more races:,6 Months to < 1 Year,Florida
111,0,0-5 Years,Population of two or more races:,1 Year to < 2 Years,Florida
112,0,0-5 Years,Population of two or more races:,2 Years to < 3 Years,Florida
113,12,6-10 Years,White alone,All Time,Florida
114,0,6-10 Years,White alone,< 30 Days,Florida
115,1,6-10 Years,White alone,30 to < 90 Days,Florida
116,1,6-10 Years,White alone,90 Days to < 6 Months,Florida
117,1,6-10 Years,White alone,6 Months to < 1 Year,Florida
118,7,6-10 Years,White alone,1 Year to < 2 Years,Florida
119,0,6-10 Years,White alone,2 Years to < 3 Years,Florida
120,2,6-10 Years,White alone,3 Years to < 5 Years,Florida
121,0,6-10 Years,White alone,5 or More Years,Florida
122,6,6-10 Years,Black or African American alone,All Time,Florida
123,0,6-10 Years,Black or African American alone,< 30 Days,Florida
124,1,6-10 Years,Black or African American alone,30 to < 90 Days,Florida
125,2,6-10 Years,Black or African American alone,90 Days to < 6 Months,Florida
126,1,6-10 Years,Black or African American alone,6 Months to < 1 Year,Florida
127,0,6-10 Years,Black or African American alone,1 Year to < 2 Years,Florida
128,2,6-10 Years,Black or African American alone,2 Years to < 3 Years,Florida
129,0,6-10 Years,Black or African American alone,3 Years to < 5 Years,Florida
130,0,6-10 Years,Black or African American alone,5 or More Years,Florida
131,8,6-10 Years,Hispanic or Latino,All Time,Florida
132,2,6-10 Years,Hispanic or Latino,< 30 Days,Florida
133,2,6-10 Years,Hispanic or Latino,30 to < 90 Days,Florida
134,0,6-10 Years,Hispanic or Latino,90 Days to < 6 Months,Florida
135,1,6-10 Years,Hispanic or Latino,6 Months to < 1 Year,Florida
136,2,6-10 Years,Hispanic or Latino,1 Year to < 2 Years,Florida
137,1,6-10 Years,Hispanic or Latino,2 Years to < 3 Years,Florida
138,0,6-10 Years,Hispanic or Latino,3 Years to < 5 Years,Florida
139,0,6-10 Years,Hispanic or Latino,5 or More Years,Florida
140,0,6-10 Years,Asian alone,All Time,Florida
141,0,6-10 Years,Asian alone,< 30 Days,Florida
142,0,6-10 Years,Asian alone,30 to < 90 Days,Florida
143,0,6-10 Years,Asian alone,6 Months to < 1 Year,Florida
144,0,6-10 Years,Asian alone,1 Year to < 2 Years,Florida
145,0,6-10 Years,Asian alone,2 Years to < 3 Years,Florida
146,0,6-10 Years,Asian alone,3 Years to < 5 Years,Florida
147,0,6-10 Years,Asian alone,5 or More Years,Florida
148,0,6-10 Years,American Indian and Alaska Native alone,All Time,Florida
149,0,6-10 Years,American Indian and Alaska Native alone,1 Year to < 2 Years,Florida
150,0,6-10 Years,American Indian and Alaska Native alone,3 Years to < 5 Years,Florida
151,0,6-10 Years,Native Hawaiian and Other Pacific Islander alone,All Time,Florida
152,0,6-10 Years,Native Hawaiian and Other Pacific Islander alone,6 Months to < 1 Year,Florida
153,0,6-10 Years,Native Hawaiian and Other Pacific Islander alone,1 Year to < 2 Years,Florida
154,0,6-10 Years,Native Hawaiian and Other Pacific Islander alone,3 Years to < 5 Years,Florida
155,1,6-10 Years,Population of two or more races:,All Time,Florida
156,0,6-10 Years,Population of two or more races:,< 30 Days,Florida
157,0,6-10 Years,Population of two or more races:,90 Days to < 6 Months,Florida
158,0,6-10 Years,Population of two or more races:,6 Months to < 1 Year,Florida
159,1,6-10 Years,Population of two or more races:,1 Year to < 2 Years,Florida
160,0,6-10 Years,Population of two or more races:,2 Years to < 3 Years,Florida
161,0,6-10 Years,Population of two or more races:,3 Years to < 5 Years,Florida
162,0,6-10 Years,Population of two or more races:,5 or More Years,Florida
163,9,11-17 Years,White alone,All Time,Florida
164,2,11-17 Years,White alone,< 30 Days,Florida
165,3,11-17 Years,White alone,30 to < 90 Days,Florida
166,0,11-17 Years,White alone,90 Days to < 6 Months,Florida
167,2,11-17 Years,White alone,6 Months to < 1 Year,Florida
168,0,11-17 Years,White alone,1 Year to < 2 Years,Florida
169,2,11-17 Years,White alone,2 Years to < 3 Years,Florida
170,0,11-17 Years,White alone,3 Years to < 5 Years,Florida
171,0,11-17 Years,White alone,5 or More Years,Florida
172,14,11-17 Years,Black or African American alone,All Time,Florida
