,People,Age,Ethnicities,Wait Time,State
0,807,All Ages,White alone,All Time,Kentucky
1,49,All Ages,White alone,< 30 Days,Kentucky
2,91,All Ages,White alone,30 to < 90 Days,Kentucky
3,92,All Ages,White alone,90 Days to < 6 Months,Kentucky
4,156,All Ages,White alone,6 Months to < 1 Year,Kentucky
5,174,All Ages,White alone,1 Year to < 2 Years,Kentucky
6,108,All Ages,White alone,2 Years to < 3 Years,Kentucky
7,95,All Ages,White alone,3 Years to < 5 Years,Kentucky
8,42,All Ages,White alone,5 or More Years,Kentucky
9,304,All Ages,Black or African American alone,All Time,Kentucky
10,17,All Ages,Black or African American alone,< 30 Days,Kentucky
11,28,All Ages,Black or African American alone,30 to < 90 Days,Kentucky
12,26,All Ages,Black or African American alone,90 Days to < 6 Months,Kentucky
13,56,All Ages,Black or African American alone,6 Months to < 1 Year,Kentucky
14,81,All Ages,Black or African American alone,1 Year to < 2 Years,Kentucky
15,51,All Ages,Black or African American alone,2 Years to < 3 Years,Kentucky
16,38,All Ages,Black or African American alone,3 Years to < 5 Years,Kentucky
17,7,All Ages,Black or African American alone,5 or More Years,Kentucky
18,29,All Ages,Hispanic or Latino,All Time,Kentucky
19,0,All Ages,Hispanic or Latino,< 30 Days,Kentucky
20,2,All Ages,Hispanic or Latino,30 to < 90 Days,Kentucky
21,1,All Ages,Hispanic or Latino,90 Days to < 6 Months,Kentucky
22,7,All Ages,Hispanic or Latino,6 Months to < 1 Year,Kentucky
23,11,All Ages,Hispanic or Latino,1 Year to < 2 Years,Kentucky
24,3,All Ages,Hispanic or Latino,2 Years to < 3 Years,Kentucky
25,4,All Ages,Hispanic or Latino,3 Years to < 5 Years,Kentucky
26,1,All Ages,Hispanic or Latino,5 or More Years,Kentucky
27,16,All Ages,Asian alone,All Time,Kentucky
28,0,All Ages,Asian alone,< 30 Days,Kentucky
29,1,All Ages,Asian alone,30 to < 90 Days,Kentucky
30,1,All Ages,Asian alone,90 Days to < 6 Months,Kentucky
31,3,All Ages,Asian alone,6 Months to < 1 Year,Kentucky
32,6,All Ages,Asian alone,1 Year to < 2 Years,Kentucky
33,3,All Ages,Asian alone,2 Years to < 3 Years,Kentucky
34,2,All Ages,Asian alone,3 Years to < 5 Years,Kentucky
35,0,All Ages,Asian alone,5 or More Years,Kentucky
36,0,All Ages,American Indian and Alaska Native alone,All Time,Kentucky
37,0,All Ages,American Indian and Alaska Native alone,< 30 Days,Kentucky
38,0,All Ages,American Indian and Alaska Native alone,30 to < 90 Days,Kentucky
39,0,All Ages,American Indian and Alaska Native alone,90 Days to < 6 Months,Kentucky
40,0,All Ages,American Indian and Alaska Native alone,6 Months to < 1 Year,Kentucky
41,0,All Ages,American Indian and Alaska Native alone,1 Year to < 2 Years,Kentucky
42,0,All Ages,American Indian and Alaska Native alone,2 Years to < 3 Years,Kentucky
43,0,All Ages,American Indian and Alaska Native alone,3 Years to < 5 Years,Kentucky
44,0,All Ages,American Indian and Alaska Native alone,5 or More Years,Kentucky
45,2,All Ages,Native Hawaiian and Other Pacific Islander alone,All Time,Kentucky
46,0,All Ages,Native Hawaiian and Other Pacific Islander alone,< 30 Days,Kentucky
47,0,All Ages,Native Hawaiian and Other Pacific Islander alone,30 to < 90 Days,Kentucky
48,0,All Ages,Native Hawaiian and Other Pacific Islander alone,90 Days to < 6 Months,Kentucky
49,0,All Ages,Native Hawaiian and Other Pacific Islander alone,6 Months to < 1 Year,Kentucky
50,2,All Ages,Native Hawaiian and Other Pacific Islander alone,1 Year to < 2 Years,Kentucky
