,People,Age,Ethnicities,Wait Time,State
0,578,All Ages,White alone,All Time,Louisiana
1,37,All Ages,White alone,< 30 Days,Louisiana
2,74,All Ages,White alone,30 to < 90 Days,Louisiana
3,56,All Ages,White alone,90 Days to < 6 Months,Louisiana
4,91,All Ages,White alone,6 Months to < 1 Year,Louisiana
5,113,All Ages,White alone,1 Year to < 2 Years,Louisiana
6,77,All Ages,White alone,2 Years to < 3 Years,Louisiana
7,84,All Ages,White alone,3 Years to < 5 Years,Louisiana
8,46,All Ages,White alone,5 or More Years,Louisiana
9,"1,168",All Ages,Black or African American alone,All Time,Louisiana
10,45,All Ages,Black or African American alone,< 30 Days,Louisiana
11,90,All Ages,Black or African American alone,30 to < 90 Days,Louisiana
12,97,All Ages,Black or African American alone,90 Days to < 6 Months,Louisiana
13,186,All Ages,Black or African American alone,6 Months to < 1 Year,Louisiana
14,271,All Ages,Black or African American alone,1 Year to < 2 Years,Louisiana
15,178,All Ages,Black or African American alone,2 Years to < 3 Years,Louisiana
16,183,All Ages,Black or African American alone,3 Years to < 5 Years,Louisiana
17,118,All Ages,Black or African American alone,5 or More Years,Louisiana
18,40,All Ages,Hispanic or Latino,All Time,Louisiana
19,2,All Ages,Hispanic or Latino,< 30 Days,Louisiana
20,2,All Ages,Hispanic or Latino,30 to < 90 Days,Louisiana
21,4,All Ages,Hispanic or Latino,90 Days to < 6 Months,Louisiana
22,6,All Ages,Hispanic or Latino,6 Months to < 1 Year,Louisiana
23,10,All Ages,Hispanic or Latino,1 Year to < 2 Years,Louisiana
24,7,All Ages,Hispanic or Latino,2 Years to < 3 Years,Louisiana
25,6,All Ages,Hispanic or Latino,3 Years to < 5 Years,Louisiana
26,3,All Ages,Hispanic or Latino,5 or More Years,Louisiana
27,34,All Ages,Asian alone,All Time,Louisiana
28,0,All Ages,Asian alone,< 30 Days,Louisiana
29,1,All Ages,Asian alone,30 to < 90 Days,Louisiana
30,0,All Ages,Asian alone,90 Days to < 6 Months,Louisiana
31,8,All Ages,Asian alone,6 Months to < 1 Year,Louisiana
32,8,All Ages,Asian alone,1 Year to < 2 Years,Louisiana
33,1,All Ages,Asian alone,2 Years to < 3 Years,Louisiana
34,7,All Ages,Asian alone,3 Years to < 5 Years,Louisiana
35,9,All Ages,Asian alone,5 or More Years,Louisiana
36,4,All Ages,American Indian and Alaska Native alone,All Time,Louisiana
37,0,All Ages,American Indian and Alaska Native alone,< 30 Days,Louisiana
38,1,All Ages,American Indian and Alaska Native alone,30 to < 90 Days,Louisiana
39,0,All Ages,American Indian and Alaska Native alone,90 Days to < 6 Months,Louisiana
40,2,All Ages,American Indian and Alaska Native alone,6 Months to < 1 Year,Louisiana
41,0,All Ages,American Indian and Alaska Native alone,1 Year to < 2 Years,Louisiana
42,1,All Ages,American Indian and Alaska Native alone,2 Years to < 3 Years,Louisiana
43,0,All Ages,American Indian and Alaska Native alone,3 Years to < 5 Years,Louisiana
44,0,All Ages,American Indian and Alaska Native alone,5 or More Years,Louisiana
45,3,All Ages,Native Hawaiian and Other Pacific Islander alone,All Time,Louisiana
46,0,All Ages,Native Hawaiian and Other Pacific Islander alone,< 30 Days,Louisiana
47,1,All Ages,Native Hawaiian and Other Pacific Islander alone,30 to < 90 Days,Louisiana
48,0,All Ages,Native Hawaiian and Other Pacific Islander alone,90 Days to < 6 Months,Louisiana
49,1,All Ages,Native Hawaiian and Other Pacific Islander alone,6 Months to < 1 Year,Louisiana
50,1,All Ages,Native Hawaiian and Other Pacific Islander alone,1 Year to < 2 Years,Louisiana
51,0,All Ages,Native Hawaiian and Other Pacific Islander alone,2 Years to < 3 Years,Louisiana
52,0,All Ages,Native Hawaiian and Other Pacific Islander alone,3 Years to < 5 Years,Louisiana
53,0,All Ages,Native Hawaiian and Other Pacific Islander alone,5 or More Years,Louisiana
54,1,All Ages,Population of two or more races:,All Time,Louisiana
55,0,All Ages,Population of two or more races:,< 30 Days,Louisiana
56,0,All Ages,Population of two or more races:,30 to < 90 Days,Louisiana
57,0,All Ages,Population of two or more races:,90 Days to < 6 Months,Louisiana
58,0,All Ages,Population of two or more races:,6 Months to < 1 Year,Louisiana
59,0,All Ages,Population of two or more races:,1 Year to < 2 Years,Louisiana
60,0,All Ages,Population of two or more races:,2 Years to < 3 Years,Louisiana
61,1,All Ages,Population of two or more races:,3 Years to < 5 Years,Louisiana
62,0,All Ages,Population of two or more races:,5 or More Years,Louisiana
63,5,0-5 Years,White alone,All Time,Louisiana
64,3,0-5 Years,White alone,< 30 Days,Louisiana
65,0,0-5 Years,White alone,30 to < 90 Days,Louisiana
66,0,0-5 Years,White alone,90 Days to < 6 Months,Louisiana
67,1,0-5 Years,White alone,6 Months to < 1 Year,Louisiana
68,1,0-5 Years,White alone,1 Year to < 2 Years,Louisiana
69,0,0-5 Years,White alone,2 Years to < 3 Years,Louisiana
70,0,0-5 Years,White alone,3 Years to < 5 Years,Louisiana
71,0,0-5 Years,White alone,5 or More Years,Louisiana
