,People,Age,Ethnicities,Wait Time,State
0,"1,005",All Ages,White alone,All Time,Maryland
1,40,All Ages,White alone,< 30 Days,Maryland
2,63,All Ages,White alone,30 to < 90 Days,Maryland
3,96,All Ages,White alone,90 Days to < 6 Months,Maryland
4,123,All Ages,White alone,6 Months to < 1 Year,Maryland
5,198,All Ages,White alone,1 Year to < 2 Years,Maryland
6,122,All Ages,White alone,2 Years to < 3 Years,Maryland
7,179,All Ages,White alone,3 Years to < 5 Years,Maryland
8,184,All Ages,White alone,5 or More Years,Maryland
9,"1,698",All Ages,Black or African American alone,All Time,Maryland
10,70,All Ages,Black or African American alone,< 30 Days,Maryland
11,134,All Ages,Black or African American alone,30 to < 90 Days,Maryland
12,149,All Ages,Black or African American alone,90 Days to < 6 Months,Maryland
13,249,All Ages,Black or African American alone,6 Months to < 1 Year,Maryland
14,340,All Ages,Black or African American alone,1 Year to < 2 Years,Maryland
15,244,All Ages,Black or African American alone,2 Years to < 3 Years,Maryland
16,276,All Ages,Black or African American alone,3 Years to < 5 Years,Maryland
17,236,All Ages,Black or African American alone,5 or More Years,Maryland
18,177,All Ages,Hispanic or Latino,All Time,Maryland
19,12,All Ages,Hispanic or Latino,< 30 Days,Maryland
20,10,All Ages,Hispanic or Latino,30 to < 90 Days,Maryland
21,16,All Ages,Hispanic or Latino,90 Days to < 6 Months,Maryland
22,24,All Ages,Hispanic or Latino,6 Months to < 1 Year,Maryland
23,45,All Ages,Hispanic or Latino,1 Year to < 2 Years,Maryland
24,25,All Ages,Hispanic or Latino,2 Years to < 3 Years,Maryland
25,20,All Ages,Hispanic or Latino,3 Years to < 5 Years,Maryland
26,25,All Ages,Hispanic or Latino,5 or More Years,Maryland
27,178,All Ages,Asian alone,All Time,Maryland
28,4,All Ages,Asian alone,< 30 Days,Maryland
29,11,All Ages,Asian alone,30 to < 90 Days,Maryland
30,18,All Ages,Asian alone,90 Days to < 6 Months,Maryland
31,25,All Ages,Asian alone,6 Months to < 1 Year,Maryland
32,43,All Ages,Asian alone,1 Year to < 2 Years,Maryland
