,People,Age,Ethnicities,Wait Time,State
0,"1,141",All Ages,White alone,All Time,Minnesota
1,46,All Ages,White alone,< 30 Days,Minnesota
2,84,All Ages,White alone,30 to < 90 Days,Minnesota
3,99,All Ages,White alone,90 Days to < 6 Months,Minnesota
4,174,All Ages,White alone,6 Months to < 1 Year,Minnesota
5,236,All Ages,White alone,1 Year to < 2 Years,Minnesota
6,135,All Ages,White alone,2 Years to < 3 Years,Minnesota
7,179,All Ages,White alone,3 Years to < 5 Years,Minnesota
8,188,All Ages,White alone,5 or More Years,Minnesota
9,309,All Ages,Black or African American alone,All Time,Minnesota
10,12,All Ages,Black or African American alone,< 30 Days,Minnesota
11,26,All Ages,Black or African American alone,30 to < 90 Days,Minnesota
12,30,All Ages,Black or African American alone,90 Days to < 6 Months,Minnesota
13,33,All Ages,Black or African American alone,6 Months to < 1 Year,Minnesota
14,71,All Ages,Black or African American alone,1 Year to < 2 Years,Minnesota
15,34,All Ages,Black or African American alone,2 Years to < 3 Years,Minnesota
16,55,All Ages,Black or African American alone,3 Years to < 5 Years,Minnesota
17,48,All Ages,Black or African American alone,5 or More Years,Minnesota
18,134,All Ages,Hispanic or Latino,All Time,Minnesota
19,4,All Ages,Hispanic or Latino,< 30 Days,Minnesota
20,6,All Ages,Hispanic or Latino,30 to < 90 Days,Minnesota
21,5,All Ages,Hispanic or Latino,90 Days to < 6 Months,Minnesota
22,24,All Ages,Hispanic or Latino,6 Months to < 1 Year,Minnesota
23,25,All Ages,Hispanic or Latino,1 Year to < 2 Years,Minnesota
24,19,All Ages,Hispanic or Latino,2 Years to < 3 Years,Minnesota
25,29,All Ages,Hispanic or Latino,3 Years to < 5 Years,Minnesota
26,22,All Ages,Hispanic or Latino,5 or More Years,Minnesota
27,213,All Ages,Asian alone,All Time,Minnesota
28,6,All Ages,Asian alone,< 30 Days,Minnesota
29,10,All Ages,Asian alone,30 to < 90 Days,Minnesota
30,13,All Ages,Asian alone,90 Days to < 6 Months,Minnesota
31,45,All Ages,Asian alone,6 Months to < 1 Year,Minnesota
32,38,All Ages,Asian alone,1 Year to < 2 Years,Minnesota
33,25,All Ages,Asian alone,2 Years to < 3 Years,Minnesota
34,35,All Ages,Asian alone,3 Years to < 5 Years,Minnesota
35,41,All Ages,Asian alone,5 or More Years,Minnesota
36,26,All Ages,American Indian and Alaska Native alone,All Time,Minnesota
37,0,All Ages,American Indian and Alaska Native alone,< 30 Days,Minnesota
38,3,All Ages,American Indian and Alaska Native alone,30 to < 90 Days,Minnesota
39,4,All Ages,American Indian and Alaska Native alone,90 Days to < 6 Months,Minnesota
40,7,All Ages,American Indian and Alaska Native alone,6 Months to < 1 Year,Minnesota
41,5,All Ages,American Indian and Alaska Native alone,1 Year to < 2 Years,Minnesota
42,2,All Ages,American Indian and Alaska Native alone,2 Years to < 3 Years,Minnesota
43,4,All Ages,American Indian and Alaska Native alone,3 Years to < 5 Years,Minnesota
44,1,All Ages,American Indian and Alaska Native alone,5 or More Years,Minnesota
45,3,All Ages,Native Hawaiian and Other Pacific Islander alone,All Time,Minnesota
46,1,All Ages,Native Hawaiian and Other Pacific Islander alone,< 30 Days,Minnesota
47,0,All Ages,Native Hawaiian and Other Pacific Islander alone,30 to < 90 Days,Minnesota
48,0,All Ages,Native Hawaiian and Other Pacific Islander alone,90 Days to < 6 Months,Minnesota
49,1,All Ages,Native Hawaiian and Other Pacific Islander alone,6 Months to < 1 Year,Minnesota
50,1,All Ages,Native Hawaiian and Other Pacific Islander alone,1 Year to < 2 Years,Minnesota
51,0,All Ages,Native Hawaiian and Other Pacific Islander alone,2 Years to < 3 Years,Minnesota
52,0,All Ages,Native Hawaiian and Other Pacific Islander alone,3 Years to < 5 Years,Minnesota
53,0,All Ages,Native Hawaiian and Other Pacific Islander alone,5 or More Years,Minnesota
54,19,All Ages,Population of two or more races:,All Time,Minnesota
55,0,All Ages,Population of two or more races:,< 30 Days,Minnesota
56,4,All Ages,Population of two or more races:,30 to < 90 Days,Minnesota
57,2,All Ages,Population of two or more races:,90 Days to < 6 Months,Minnesota
58,2,All Ages,Population of two or more races:,6 Months to < 1 Year,Minnesota
59,0,All Ages,Population of two or more races:,1 Year to < 2 Years,Minnesota
60,2,All Ages,Population of two or more races:,2 Years to < 3 Years,Minnesota
61,2,All Ages,Population of two or more races:,3 Years to < 5 Years,Minnesota
62,7,All Ages,Population of two or more races:,5 or More Years,Minnesota
63,7,0-5 Years,White alone,All Time,Minnesota
64,1,0-5 Years,White alone,< 30 Days,Minnesota
65,1,0-5 Years,White alone,30 to < 90 Days,Minnesota
66,0,0-5 Years,White alone,90 Days to < 6 Months,Minnesota
67,1,0-5 Years,White alone,6 Months to < 1 Year,Minnesota
68,3,0-5 Years,White alone,1 Year to < 2 Years,Minnesota
69,0,0-5 Years,White alone,2 Years to < 3 Years,Minnesota
70,0,0-5 Years,White alone,3 Years to < 5 Years,Minnesota
71,1,0-5 Years,White alone,5 or More Years,Minnesota
72,9,0-5 Years,Black or African American alone,All Time,Minnesota
73,0,0-5 Years,Black or African American alone,< 30 Days,Minnesota
74,3,0-5 Years,Black or African American alone,30 to < 90 Days,Minnesota
75,1,0-5 Years,Black or African American alone,90 Days to < 6 Months,Minnesota
76,2,0-5 Years,Black or African American alone,6 Months to < 1 Year,Minnesota
77,2,0-5 Years,Black or African American alone,1 Year to < 2 Years,Minnesota
78,1,0-5 Years,Black or African American alone,2 Years to < 3 Years,Minnesota
79,0,0-5 Years,Black or African American alone,3 Years to < 5 Years,Minnesota
80,2,0-5 Years,Hispanic or Latino,All Time,Minnesota
81,0,0-5 Years,Hispanic or Latino,< 30 Days,Minnesota
82,0,0-5 Years,Hispanic or Latino,30 to < 90 Days,Minnesota
83,0,0-5 Years,Hispanic or Latino,90 Days to < 6 Months,Minnesota
84,1,0-5 Years,Hispanic or Latino,6 Months to < 1 Year,Minnesota
85,0,0-5 Years,Hispanic or Latino,1 Year to < 2 Years,Minnesota
86,1,0-5 Years,Hispanic or Latino,2 Years to < 3 Years,Minnesota
87,0,0-5 Years,Hispanic or Latino,3 Years to < 5 Years,Minnesota
88,0,0-5 Years,Hispanic or Latino,5 or More Years,Minnesota
89,0,0-5 Years,Asian alone,All Time,Minnesota
90,0,0-5 Years,Asian alone,< 30 Days,Minnesota
91,0,0-5 Years,Asian alone,30 to < 90 Days,Minnesota
92,0,0-5 Years,Asian alone,90 Days to < 6 Months,Minnesota
93,0,0-5 Years,Asian alone,6 Months to < 1 Year,Minnesota
94,0,0-5 Years,Asian alone,1 Year to < 2 Years,Minnesota
95,0,0-5 Years,Asian alone,2 Years to < 3 Years,Minnesota
96,0,0-5 Years,Asian alone,3 Years to < 5 Years,Minnesota
97,0,0-5 Years,American Indian and Alaska Native alone,All Time,Minnesota
98,0,0-5 Years,American Indian and Alaska Native alone,< 30 Days,Minnesota
99,0,0-5 Years,American Indian and Alaska Native alone,30 to < 90 Days,Minnesota
100,0,0-5 Years,American Indian and Alaska Native alone,90 Days to < 6 Months,Minnesota
101,0,0-5 Years,American Indian and Alaska Native alone,6 Months to < 1 Year,Minnesota
102,0,0-5 Years,American Indian and Alaska Native alone,1 Year to < 2 Years,Minnesota
103,0,0-5 Years,Native Hawaiian and Other Pacific Islander alone,All Time,Minnesota
104,0,0-5 Years,Native Hawaiian and Other Pacific Islander alone,6 Months to < 1 Year,Minnesota
105,0,0-5 Years,Native Hawaiian and Other Pacific Islander alone,1 Year to < 2 Years,Minnesota
106,1,0-5 Years,Population of two or more races:,All Time,Minnesota
107,0,0-5 Years,Population of two or more races:,< 30 Days,Minnesota
108,0,0-5 Years,Population of two or more races:,30 to < 90 Days,Minnesota
109,1,0-5 Years,Population of two or more races:,90 Days to < 6 Months,Minnesota
110,0,0-5 Years,Population of two or more races:,6 Months to < 1 Year,Minnesota
111,0,0-5 Years,Population of two or more races:,1 Year to < 2 Years,Minnesota
112,0,0-5 Years,Population of two or more races:,2 Years to < 3 Years,Minnesota
113,7,6-10 Years,White alone,All Time,Minnesota
114,0,6-10 Years,White alone,< 30 Days,Minnesota
115,0,6-10 Years,White alone,30 to < 90 Days,Minnesota
116,2,6-10 Years,White alone,90 Days to < 6 Months,Minnesota
117,0,6-10 Years,White alone,6 Months to < 1 Year,Minnesota
