,People,Age,Ethnicities,Wait Time,State
0,911,All Ages,White alone,All Time,Missouri
1,51,All Ages,White alone,< 30 Days,Missouri
2,81,All Ages,White alone,30 to < 90 Days,Missouri
3,95,All Ages,White alone,90 Days to < 6 Months,Missouri
4,173,All Ages,White alone,6 Months to < 1 Year,Missouri
5,252,All Ages,White alone,1 Year to < 2 Years,Missouri
6,102,All Ages,White alone,2 Years to < 3 Years,Missouri
7,100,All Ages,White alone,3 Years to < 5 Years,Missouri
8,57,All Ages,White alone,5 or More Years,Missouri
9,454,All Ages,Black or African American alone,All Time,Missouri
10,20,All Ages,Black or African American alone,< 30 Days,Missouri
11,29,All Ages,Black or African American alone,30 to < 90 Days,Missouri
12,45,All Ages,Black or African American alone,90 Days to < 6 Months,Missouri
13,82,All Ages,Black or African American alone,6 Months to < 1 Year,Missouri
14,108,All Ages,Black or African American alone,1 Year to < 2 Years,Missouri
15,76,All Ages,Black or African American alone,2 Years to < 3 Years,Missouri
16,49,All Ages,Black or African American alone,3 Years to < 5 Years,Missouri
17,45,All Ages,Black or African American alone,5 or More Years,Missouri
18,49,All Ages,Hispanic or Latino,All Time,Missouri
19,3,All Ages,Hispanic or Latino,< 30 Days,Missouri
20,10,All Ages,Hispanic or Latino,30 to < 90 Days,Missouri
21,5,All Ages,Hispanic or Latino,90 Days to < 6 Months,Missouri
22,7,All Ages,Hispanic or Latino,6 Months to < 1 Year,Missouri
23,9,All Ages,Hispanic or Latino,1 Year to < 2 Years,Missouri
24,6,All Ages,Hispanic or Latino,2 Years to < 3 Years,Missouri
25,7,All Ages,Hispanic or Latino,3 Years to < 5 Years,Missouri
26,2,All Ages,Hispanic or Latino,5 or More Years,Missouri
27,53,All Ages,Asian alone,All Time,Missouri
28,2,All Ages,Asian alone,< 30 Days,Missouri
29,3,All Ages,Asian alone,30 to < 90 Days,Missouri
30,6,All Ages,Asian alone,90 Days to < 6 Months,Missouri
31,8,All Ages,Asian alone,6 Months to < 1 Year,Missouri
32,13,All Ages,Asian alone,1 Year to < 2 Years,Missouri
33,14,All Ages,Asian alone,2 Years to < 3 Years,Missouri
34,2,All Ages,Asian alone,3 Years to < 5 Years,Missouri
35,5,All Ages,Asian alone,5 or More Years,Missouri
36,8,All Ages,American Indian and Alaska Native alone,All Time,Missouri
37,1,All Ages,American Indian and Alaska Native alone,< 30 Days,Missouri
38,1,All Ages,American Indian and Alaska Native alone,30 to < 90 Days,Missouri
39,0,All Ages,American Indian and Alaska Native alone,90 Days to < 6 Months,Missouri
40,2,All Ages,American Indian and Alaska Native alone,6 Months to < 1 Year,Missouri
41,2,All Ages,American Indian and Alaska Native alone,1 Year to < 2 Years,Missouri
42,1,All Ages,American Indian and Alaska Native alone,2 Years to < 3 Years,Missouri
43,0,All Ages,American Indian and Alaska Native alone,3 Years to < 5 Years,Missouri
44,1,All Ages,American Indian and Alaska Native alone,5 or More Years,Missouri
45,4,All Ages,Native Hawaiian and Other Pacific Islander alone,All Time,Missouri
46,0,All Ages,Native Hawaiian and Other Pacific Islander alone,< 30 Days,Missouri
47,0,All Ages,Native Hawaiian and Other Pacific Islander alone,30 to < 90 Days,Missouri
48,1,All Ages,Native Hawaiian and Other Pacific Islander alone,90 Days to < 6 Months,Missouri
49,1,All Ages,Native Hawaiian and Other Pacific Islander alone,6 Months to < 1 Year,Missouri
50,0,All Ages,Native Hawaiian and Other Pacific Islander alone,1 Year to < 2 Years,Missouri
51,2,All Ages,Native Hawaiian and Other Pacific Islander alone,2 Years to < 3 Years,Missouri
52,0,All Ages,Native Hawaiian and Other Pacific Islander alone,3 Years to < 5 Years,Missouri
