,People,Age,Ethnicities,Wait Time,State
0,269,All Ages,White alone,All Time,Nevada
1,13,All Ages,White alone,< 30 Days,Nevada
2,37,All Ages,White alone,30 to < 90 Days,Nevada
3,29,All Ages,White alone,90 Days to < 6 Months,Nevada
4,38,All Ages,White alone,6 Months to < 1 Year,Nevada
5,59,All Ages,White alone,1 Year to < 2 Years,Nevada
6,29,All Ages,White alone,2 Years to < 3 Years,Nevada
7,34,All Ages,White alone,3 Years to < 5 Years,Nevada
8,30,All Ages,White alone,5 or More Years,Nevada
9,124,All Ages,Black or African American alone,All Time,Nevada
10,6,All Ages,Black or African American alone,< 30 Days,Nevada
11,10,All Ages,Black or African American alone,30 to < 90 Days,Nevada
12,9,All Ages,Black or African American alone,90 Days to < 6 Months,Nevada
13,36,All Ages,Black or African American alone,6 Months to < 1 Year,Nevada
14,25,All Ages,Black or African American alone,1 Year to < 2 Years,Nevada
15,16,All Ages,Black or African American alone,2 Years to < 3 Years,Nevada
16,12,All Ages,Black or African American alone,3 Years to < 5 Years,Nevada
17,10,All Ages,Black or African American alone,5 or More Years,Nevada
18,174,All Ages,Hispanic or Latino,All Time,Nevada
19,6,All Ages,Hispanic or Latino,< 30 Days,Nevada
20,20,All Ages,Hispanic or Latino,30 to < 90 Days,Nevada
21,17,All Ages,Hispanic or Latino,90 Days to < 6 Months,Nevada
22,34,All Ages,Hispanic or Latino,6 Months to < 1 Year,Nevada
23,35,All Ages,Hispanic or Latino,1 Year to < 2 Years,Nevada
24,28,All Ages,Hispanic or Latino,2 Years to < 3 Years,Nevada
25,25,All Ages,Hispanic or Latino,3 Years to < 5 Years,Nevada
26,9,All Ages,Hispanic or Latino,5 or More Years,Nevada
27,91,All Ages,Asian alone,All Time,Nevada
28,8,All Ages,Asian alone,< 30 Days,Nevada
29,5,All Ages,Asian alone,30 to < 90 Days,Nevada
30,14,All Ages,Asian alone,90 Days to < 6 Months,Nevada
31,21,All Ages,Asian alone,6 Months to < 1 Year,Nevada
32,20,All Ages,Asian alone,1 Year to < 2 Years,Nevada
33,9,All Ages,Asian alone,2 Years to < 3 Years,Nevada
34,4,All Ages,Asian alone,3 Years to < 5 Years,Nevada
35,10,All Ages,Asian alone,5 or More Years,Nevada
36,9,All Ages,American Indian and Alaska Native alone,All Time,Nevada
37,0,All Ages,American Indian and Alaska Native alone,< 30 Days,Nevada
38,1,All Ages,American Indian and Alaska Native alone,30 to < 90 Days,Nevada
39,0,All Ages,American Indian and Alaska Native alone,90 Days to < 6 Months,Nevada
40,3,All Ages,American Indian and Alaska Native alone,6 Months to < 1 Year,Nevada
41,2,All Ages,American Indian and Alaska Native alone,1 Year to < 2 Years,Nevada
42,1,All Ages,American Indian and Alaska Native alone,2 Years to < 3 Years,Nevada
43,1,All Ages,American Indian and Alaska Native alone,3 Years to < 5 Years,Nevada
44,1,All Ages,American Indian and Alaska Native alone,5 or More Years,Nevada
45,19,All Ages,Native Hawaiian and Other Pacific Islander alone,All Time,Nevada
46,0,All Ages,Native Hawaiian and Other Pacific Islander alone,< 30 Days,Nevada
47,1,All Ages,Native Hawaiian and Other Pacific Islander alone,30 to < 90 Days,Nevada
48,1,All Ages,Native Hawaiian and Other Pacific Islander alone,90 Days to < 6 Months,Nevada
49,6,All Ages,Native Hawaiian and Other Pacific Islander alone,6 Months to < 1 Year,Nevada
50,5,All Ages,Native Hawaiian and Other Pacific Islander alone,1 Year to < 2 Years,Nevada
51,1,All Ages,Native Hawaiian and Other Pacific Islander alone,2 Years to < 3 Years,Nevada
52,2,All Ages,Native Hawaiian and Other Pacific Islander alone,3 Years to < 5 Years,Nevada
53,3,All Ages,Native Hawaiian and Other Pacific Islander alone,5 or More Years,Nevada
54,11,All Ages,Population of two or more races:,All Time,Nevada
55,0,All Ages,Population of two or more races:,< 30 Days,Nevada
56,3,All Ages,Population of two or more races:,30 to < 90 Days,Nevada
57,0,All Ages,Population of two or more races:,90 Days to < 6 Months,Nevada
58,2,All Ages,Population of two or more races:,6 Months to < 1 Year,Nevada
59,1,All Ages,Population of two or more races:,1 Year to < 2 Years,Nevada
60,0,All Ages,Population of two or more races:,2 Years to < 3 Years,Nevada
61,3,All Ages,Population of two or more races:,3 Years to < 5 Years,Nevada
62,2,All Ages,Population of two or more races:,5 or More Years,Nevada
63,3,0-5 Years,White alone,All Time,Nevada
64,0,0-5 Years,White alone,< 30 Days,Nevada
65,1,0-5 Years,White alone,30 to < 90 Days,Nevada
66,0,0-5 Years,White alone,90 Days to < 6 Months,Nevada
67,0,0-5 Years,White alone,6 Months to < 1 Year,Nevada
68,1,0-5 Years,White alone,1 Year to < 2 Years,Nevada
69,1,0-5 Years,White alone,2 Years to < 3 Years,Nevada
70,0,0-5 Years,White alone,3 Years to < 5 Years,Nevada
71,0,0-5 Years,White alone,5 or More Years,Nevada
72,3,0-5 Years,Black or African American alone,All Time,Nevada
73,0,0-5 Years,Black or African American alone,< 30 Days,Nevada
74,0,0-5 Years,Black or African American alone,30 to < 90 Days,Nevada
75,0,0-5 Years,Black or African American alone,90 Days to < 6 Months,Nevada
76,3,0-5 Years,Black or African American alone,6 Months to < 1 Year,Nevada
77,0,0-5 Years,Black or African American alone,1 Year to < 2 Years,Nevada
78,0,0-5 Years,Black or African American alone,2 Years to < 3 Years,Nevada
79,0,0-5 Years,Black or African American alone,3 Years to < 5 Years,Nevada
80,1,0-5 Years,Hispanic or Latino,All Time,Nevada
81,0,0-5 Years,Hispanic or Latino,< 30 Days,Nevada
82,0,0-5 Years,Hispanic or Latino,30 to < 90 Days,Nevada
83,0,0-5 Years,Hispanic or Latino,90 Days to < 6 Months,Nevada
84,0,0-5 Years,Hispanic or Latino,6 Months to < 1 Year,Nevada
85,1,0-5 Years,Hispanic or Latino,1 Year to < 2 Years,Nevada
86,0,0-5 Years,Hispanic or Latino,2 Years to < 3 Years,Nevada
87,0,0-5 Years,Hispanic or Latino,3 Years to < 5 Years,Nevada
88,0,0-5 Years,Hispanic or Latino,5 or More Years,Nevada
89,0,0-5 Years,Asian alone,All Time,Nevada
90,0,0-5 Years,Asian alone,< 30 Days,Nevada
91,0,0-5 Years,Asian alone,30 to < 90 Days,Nevada
92,0,0-5 Years,Asian alone,90 Days to < 6 Months,Nevada
93,0,0-5 Years,Asian alone,6 Months to < 1 Year,Nevada
94,0,0-5 Years,Asian alone,1 Year to < 2 Years,Nevada
95,0,0-5 Years,Asian alone,2 Years to < 3 Years,Nevada
96,0,0-5 Years,Asian alone,3 Years to < 5 Years,Nevada
97,0,0-5 Years,American Indian and Alaska Native alone,All Time,Nevada
98,0,0-5 Years,American Indian and Alaska Native alone,< 30 Days,Nevada
99,0,0-5 Years,American Indian and Alaska Native alone,30 to < 90 Days,Nevada
100,0,0-5 Years,American Indian and Alaska Native alone,90 Days to < 6 Months,Nevada
101,0,0-5 Years,American Indian and Alaska Native alone,6 Months to < 1 Year,Nevada
102,0,0-5 Years,American Indian and Alaska Native alone,1 Year to < 2 Years,Nevada
103,0,0-5 Years,Native Hawaiian and Other Pacific Islander alone,All Time,Nevada
104,0,0-5 Years,Native Hawaiian and Other Pacific Islander alone,6 Months to < 1 Year,Nevada
105,0,0-5 Years,Native Hawaiian and Other Pacific Islander alone,1 Year to < 2 Years,Nevada
106,1,0-5 Years,Population of two or more races:,All Time,Nevada
