,People,Age,Ethnicities,Wait Time,State
0,428,All Ages,White alone,All Time,New_Hampshire
1,24,All Ages,White alone,< 30 Days,New_Hampshire
2,18,All Ages,White alone,30 to < 90 Days,New_Hampshire
3,47,All Ages,White alone,90 Days to < 6 Months,New_Hampshire
4,56,All Ages,White alone,6 Months to < 1 Year,New_Hampshire
5,106,All Ages,White alone,1 Year to < 2 Years,New_Hampshire
6,72,All Ages,White alone,2 Years to < 3 Years,New_Hampshire
7,67,All Ages,White alone,3 Years to < 5 Years,New_Hampshire
8,38,All Ages,White alone,5 or More Years,New_Hampshire
9,21,All Ages,Black or African American alone,All Time,New_Hampshire
10,1,All Ages,Black or African American alone,< 30 Days,New_Hampshire
11,0,All Ages,Black or African American alone,30 to < 90 Days,New_Hampshire
12,0,All Ages,Black or African American alone,90 Days to < 6 Months,New_Hampshire
13,1,All Ages,Black or African American alone,6 Months to < 1 Year,New_Hampshire
14,5,All Ages,Black or African American alone,1 Year to < 2 Years,New_Hampshire
15,5,All Ages,Black or African American alone,2 Years to < 3 Years,New_Hampshire
16,4,All Ages,Black or African American alone,3 Years to < 5 Years,New_Hampshire
17,5,All Ages,Black or African American alone,5 or More Years,New_Hampshire
18,18,All Ages,Hispanic or Latino,All Time,New_Hampshire
19,0,All Ages,Hispanic or Latino,< 30 Days,New_Hampshire
20,1,All Ages,Hispanic or Latino,30 to < 90 Days,New_Hampshire
21,4,All Ages,Hispanic or Latino,90 Days to < 6 Months,New_Hampshire
22,5,All Ages,Hispanic or Latino,6 Months to < 1 Year,New_Hampshire
23,2,All Ages,Hispanic or Latino,1 Year to < 2 Years,New_Hampshire
24,3,All Ages,Hispanic or Latino,2 Years to < 3 Years,New_Hampshire
25,1,All Ages,Hispanic or Latino,3 Years to < 5 Years,New_Hampshire
26,2,All Ages,Hispanic or Latino,5 or More Years,New_Hampshire
27,17,All Ages,Asian alone,All Time,New_Hampshire
28,0,All Ages,Asian alone,< 30 Days,New_Hampshire
29,1,All Ages,Asian alone,30 to < 90 Days,New_Hampshire
30,0,All Ages,Asian alone,90 Days to < 6 Months,New_Hampshire
31,4,All Ages,Asian alone,6 Months to < 1 Year,New_Hampshire
32,3,All Ages,Asian alone,1 Year to < 2 Years,New_Hampshire
33,3,All Ages,Asian alone,2 Years to < 3 Years,New_Hampshire
34,2,All Ages,Asian alone,3 Years to < 5 Years,New_Hampshire
35,4,All Ages,Asian alone,5 or More Years,New_Hampshire
36,0,All Ages,American Indian and Alaska Native alone,All Time,New_Hampshire
37,0,All Ages,American Indian and Alaska Native alone,< 30 Days,New_Hampshire
38,0,All Ages,American Indian and Alaska Native alone,30 to < 90 Days,New_Hampshire
39,0,All Ages,American Indian and Alaska Native alone,90 Days to < 6 Months,New_Hampshire
40,0,All Ages,American Indian and Alaska Native alone,6 Months to < 1 Year,New_Hampshire
41,0,All Ages,American Indian and Alaska Native alone,1 Year to < 2 Years,New_Hampshire
42,0,All Ages,American Indian and Alaska Native alone,2 Years to < 3 Years,New_Hampshire
43,0,All Ages,American Indian and Alaska Native alone,3 Years to < 5 Years,New_Hampshire
44,0,All Ages,American Indian and Alaska Native alone,5 or More Years,New_Hampshire
45,0,All Ages,Native Hawaiian and Other Pacific Islander alone,All Time,New_Hampshire
46,0,All Ages,Native Hawaiian and Other Pacific Islander alone,< 30 Days,New_Hampshire
47,0,All Ages,Native Hawaiian and Other Pacific Islander alone,30 to < 90 Days,New_Hampshire
48,0,All Ages,Native Hawaiian and Other Pacific Islander alone,90 Days to < 6 Months,New_Hampshire
49,0,All Ages,Native Hawaiian and Other Pacific Islander alone,6 Months to < 1 Year,New_Hampshire
50,0,All Ages,Native Hawaiian and Other Pacific Islander alone,1 Year to < 2 Years,New_Hampshire
51,0,All Ages,Native Hawaiian and Other Pacific Islander alone,2 Years to < 3 Years,New_Hampshire
52,0,All Ages,Native Hawaiian and Other Pacific Islander alone,3 Years to < 5 Years,New_Hampshire
53,0,All Ages,Native Hawaiian and Other Pacific Islander alone,5 or More Years,New_Hampshire
54,2,All Ages,Population of two or more races:,All Time,New_Hampshire
55,0,All Ages,Population of two or more races:,< 30 Days,New_Hampshire
56,0,All Ages,Population of two or more races:,30 to < 90 Days,New_Hampshire
57,0,All Ages,Population of two or more races:,90 Days to < 6 Months,New_Hampshire
58,0,All Ages,Population of two or more races:,6 Months to < 1 Year,New_Hampshire
59,0,All Ages,Population of two or more races:,1 Year to < 2 Years,New_Hampshire
60,0,All Ages,Population of two or more races:,2 Years to < 3 Years,New_Hampshire
61,0,All Ages,Population of two or more races:,3 Years to < 5 Years,New_Hampshire
62,2,All Ages,Population of two or more races:,5 or More Years,New_Hampshire
63,1,0-5 Years,White alone,All Time,New_Hampshire
64,0,0-5 Years,White alone,< 30 Days,New_Hampshire
65,0,0-5 Years,White alone,30 to < 90 Days,New_Hampshire
66,1,0-5 Years,White alone,90 Days to < 6 Months,New_Hampshire
67,0,0-5 Years,White alone,6 Months to < 1 Year,New_Hampshire
68,0,0-5 Years,White alone,1 Year to < 2 Years,New_Hampshire
69,0,0-5 Years,White alone,2 Years to < 3 Years,New_Hampshire
70,0,0-5 Years,White alone,3 Years to < 5 Years,New_Hampshire
