,People,Age,Ethnicities,Wait Time,State
0,"1,394",All Ages,White alone,All Time,New_Jersey
1,68,All Ages,White alone,< 30 Days,New_Jersey
2,116,All Ages,White alone,30 to < 90 Days,New_Jersey
3,147,All Ages,White alone,90 Days to < 6 Months,New_Jersey
4,223,All Ages,White alone,6 Months to < 1 Year,New_Jersey
5,309,All Ages,White alone,1 Year to < 2 Years,New_Jersey
6,197,All Ages,White alone,2 Years to < 3 Years,New_Jersey
7,216,All Ages,White alone,3 Years to < 5 Years,New_Jersey
8,118,All Ages,White alone,5 or More Years,New_Jersey
9,"1,240",All Ages,Black or African American alone,All Time,New_Jersey
10,34,All Ages,Black or African American alone,< 30 Days,New_Jersey
11,82,All Ages,Black or African American alone,30 to < 90 Days,New_Jersey
12,91,All Ages,Black or African American alone,90 Days to < 6 Months,New_Jersey
13,190,All Ages,Black or African American alone,6 Months to < 1 Year,New_Jersey
14,283,All Ages,Black or African American alone,1 Year to < 2 Years,New_Jersey
15,188,All Ages,Black or African American alone,2 Years to < 3 Years,New_Jersey
16,229,All Ages,Black or African American alone,3 Years to < 5 Years,New_Jersey
17,143,All Ages,Black or African American alone,5 or More Years,New_Jersey
18,591,All Ages,Hispanic or Latino,All Time,New_Jersey
19,28,All Ages,Hispanic or Latino,< 30 Days,New_Jersey
20,49,All Ages,Hispanic or Latino,30 to < 90 Days,New_Jersey
21,53,All Ages,Hispanic or Latino,90 Days to < 6 Months,New_Jersey
22,110,All Ages,Hispanic or Latino,6 Months to < 1 Year,New_Jersey
23,133,All Ages,Hispanic or Latino,1 Year to < 2 Years,New_Jersey
24,78,All Ages,Hispanic or Latino,2 Years to < 3 Years,New_Jersey
25,88,All Ages,Hispanic or Latino,3 Years to < 5 Years,New_Jersey
26,52,All Ages,Hispanic or Latino,5 or More Years,New_Jersey
27,418,All Ages,Asian alone,All Time,New_Jersey
28,12,All Ages,Asian alone,< 30 Days,New_Jersey
29,29,All Ages,Asian alone,30 to < 90 Days,New_Jersey
30,39,All Ages,Asian alone,90 Days to < 6 Months,New_Jersey
31,74,All Ages,Asian alone,6 Months to < 1 Year,New_Jersey
32,94,All Ages,Asian alone,1 Year to < 2 Years,New_Jersey
33,64,All Ages,Asian alone,2 Years to < 3 Years,New_Jersey
34,72,All Ages,Asian alone,3 Years to < 5 Years,New_Jersey
35,34,All Ages,Asian alone,5 or More Years,New_Jersey
36,0,All Ages,American Indian and Alaska Native alone,All Time,New_Jersey
37,0,All Ages,American Indian and Alaska Native alone,< 30 Days,New_Jersey
38,0,All Ages,American Indian and Alaska Native alone,30 to < 90 Days,New_Jersey
39,0,All Ages,American Indian and Alaska Native alone,90 Days to < 6 Months,New_Jersey
40,0,All Ages,American Indian and Alaska Native alone,6 Months to < 1 Year,New_Jersey
41,0,All Ages,American Indian and Alaska Native alone,1 Year to < 2 Years,New_Jersey
42,0,All Ages,American Indian and Alaska Native alone,2 Years to < 3 Years,New_Jersey
43,0,All Ages,American Indian and Alaska Native alone,3 Years to < 5 Years,New_Jersey
44,0,All Ages,American Indian and Alaska Native alone,5 or More Years,New_Jersey
45,3,All Ages,Native Hawaiian and Other Pacific Islander alone,All Time,New_Jersey
46,0,All Ages,Native Hawaiian and Other Pacific Islander alone,< 30 Days,New_Jersey
47,0,All Ages,Native Hawaiian and Other Pacific Islander alone,30 to < 90 Days,New_Jersey
48,0,All Ages,Native Hawaiian and Other Pacific Islander alone,90 Days to < 6 Months,New_Jersey
49,0,All Ages,Native Hawaiian and Other Pacific Islander alone,6 Months to < 1 Year,New_Jersey
50,1,All Ages,Native Hawaiian and Other Pacific Islander alone,1 Year to < 2 Years,New_Jersey
51,2,All Ages,Native Hawaiian and Other Pacific Islander alone,2 Years to < 3 Years,New_Jersey
52,0,All Ages,Native Hawaiian and Other Pacific Islander alone,3 Years to < 5 Years,New_Jersey
53,0,All Ages,Native Hawaiian and Other Pacific Islander alone,5 or More Years,New_Jersey
54,17,All Ages,Population of two or more races:,All Time,New_Jersey
55,0,All Ages,Population of two or more races:,< 30 Days,New_Jersey
56,0,All Ages,Population of two or more races:,30 to < 90 Days,New_Jersey
57,2,All Ages,Population of two or more races:,90 Days to < 6 Months,New_Jersey
58,7,All Ages,Population of two or more races:,6 Months to < 1 Year,New_Jersey
59,3,All Ages,Population of two or more races:,1 Year to < 2 Years,New_Jersey
60,2,All Ages,Population of two or more races:,2 Years to < 3 Years,New_Jersey
61,2,All Ages,Population of two or more races:,3 Years to < 5 Years,New_Jersey
