,People,Age,Ethnicities,Wait Time,State
0,"2,757",All Ages,White alone,All Time,New_York
1,148,All Ages,White alone,< 30 Days,New_York
2,215,All Ages,White alone,30 to < 90 Days,New_York
3,267,All Ages,White alone,90 Days to < 6 Months,New_York
4,421,All Ages,White alone,6 Months to < 1 Year,New_York
5,582,All Ages,White alone,1 Year to < 2 Years,New_York
6,344,All Ages,White alone,2 Years to < 3 Years,New_York
7,472,All Ages,White alone,3 Years to < 5 Years,New_York
8,308,All Ages,White alone,5 or More Years,New_York
9,"2,734",All Ages,Black or African American alone,All Time,New_York
10,99,All Ages,Black or African American alone,< 30 Days,New_York
11,188,All Ages,Black or African American alone,30 to < 90 Days,New_York
12,227,All Ages,Black or African American alone,90 Days to < 6 Months,New_York
13,411,All Ages,Black or African American alone,6 Months to < 1 Year,New_York
14,586,All Ages,Black or African American alone,1 Year to < 2 Years,New_York
15,322,All Ages,Black or African American alone,2 Years to < 3 Years,New_York
16,502,All Ages,Black or African American alone,3 Years to < 5 Years,New_York
17,399,All Ages,Black or African American alone,5 or More Years,New_York
18,"1,712",All Ages,Hispanic or Latino,All Time,New_York
19,77,All Ages,Hispanic or Latino,< 30 Days,New_York
20,121,All Ages,Hispanic or Latino,30 to < 90 Days,New_York
21,149,All Ages,Hispanic or Latino,90 Days to < 6 Months,New_York
22,256,All Ages,Hispanic or Latino,6 Months to < 1 Year,New_York
23,356,All Ages,Hispanic or Latino,1 Year to < 2 Years,New_York
24,212,All Ages,Hispanic or Latino,2 Years to < 3 Years,New_York
25,288,All Ages,Hispanic or Latino,3 Years to < 5 Years,New_York
26,253,All Ages,Hispanic or Latino,5 or More Years,New_York
27,965,All Ages,Asian alone,All Time,New_York
28,41,All Ages,Asian alone,< 30 Days,New_York
29,72,All Ages,Asian alone,30 to < 90 Days,New_York
30,60,All Ages,Asian alone,90 Days to < 6 Months,New_York
31,161,All Ages,Asian alone,6 Months to < 1 Year,New_York
32,242,All Ages,Asian alone,1 Year to < 2 Years,New_York
33,102,All Ages,Asian alone,2 Years to < 3 Years,New_York
34,177,All Ages,Asian alone,3 Years to < 5 Years,New_York
35,110,All Ages,Asian alone,5 or More Years,New_York
36,20,All Ages,American Indian and Alaska Native alone,All Time,New_York
37,3,All Ages,American Indian and Alaska Native alone,< 30 Days,New_York
38,2,All Ages,American Indian and Alaska Native alone,30 to < 90 Days,New_York
39,2,All Ages,American Indian and Alaska Native alone,90 Days to < 6 Months,New_York
40,2,All Ages,American Indian and Alaska Native alone,6 Months to < 1 Year,New_York
41,3,All Ages,American Indian and Alaska Native alone,1 Year to < 2 Years,New_York
42,4,All Ages,American Indian and Alaska Native alone,2 Years to < 3 Years,New_York
43,3,All Ages,American Indian and Alaska Native alone,3 Years to < 5 Years,New_York
44,1,All Ages,American Indian and Alaska Native alone,5 or More Years,New_York
45,4,All Ages,Native Hawaiian and Other Pacific Islander alone,All Time,New_York
46,2,All Ages,Native Hawaiian and Other Pacific Islander alone,< 30 Days,New_York
47,1,All Ages,Native Hawaiian and Other Pacific Islander alone,30 to < 90 Days,New_York
48,0,All Ages,Native Hawaiian and Other Pacific Islander alone,90 Days to < 6 Months,New_York
49,0,All Ages,Native Hawaiian and Other Pacific Islander alone,6 Months to < 1 Year,New_York
50,0,All Ages,Native Hawaiian and Other Pacific Islander alone,1 Year to < 2 Years,New_York
51,0,All Ages,Native Hawaiian and Other Pacific Islander alone,2 Years to < 3 Years,New_York
52,1,All Ages,Native Hawaiian and Other Pacific Islander alone,3 Years to < 5 Years,New_York
53,0,All Ages,Native Hawaiian and Other Pacific Islander alone,5 or More Years,New_York
54,48,All Ages,Population of two or more races:,All Time,New_York
55,3,All Ages,Population of two or more races:,< 30 Days,New_York
56,8,All Ages,Population of two or more races:,30 to < 90 Days,New_York
57,2,All Ages,Population of two or more races:,90 Days to < 6 Months,New_York
58,6,All Ages,Population of two or more races:,6 Months to < 1 Year,New_York
59,8,All Ages,Population of two or more races:,1 Year to < 2 Years,New_York
60,5,All Ages,Population of two or more races:,2 Years to < 3 Years,New_York
61,10,All Ages,Population of two or more races:,3 Years to < 5 Years,New_York
62,6,All Ages,Population of two or more races:,5 or More Years,New_York
63,22,0-5 Years,White alone,All Time,New_York
64,2,0-5 Years,White alone,< 30 Days,New_York
65,2,0-5 Years,White alone,30 to < 90 Days,New_York
66,2,0-5 Years,White alone,90 Days to < 6 Months,New_York
67,4,0-5 Years,White alone,6 Months to < 1 Year,New_York
68,6,0-5 Years,White alone,1 Year to < 2 Years,New_York
69,4,0-5 Years,White alone,2 Years to < 3 Years,New_York
70,2,0-5 Years,White alone,3 Years to < 5 Years,New_York
71,0,0-5 Years,White alone,5 or More Years,New_York
72,5,0-5 Years,Black or African American alone,All Time,New_York
73,0,0-5 Years,Black or African American alone,< 30 Days,New_York
74,1,0-5 Years,Black or African American alone,30 to < 90 Days,New_York
75,2,0-5 Years,Black or African American alone,90 Days to < 6 Months,New_York
76,0,0-5 Years,Black or African American alone,6 Months to < 1 Year,New_York
77,2,0-5 Years,Black or African American alone,1 Year to < 2 Years,New_York
78,0,0-5 Years,Black or African American alone,2 Years to < 3 Years,New_York
79,0,0-5 Years,Black or African American alone,3 Years to < 5 Years,New_York
80,15,0-5 Years,Hispanic or Latino,All Time,New_York
81,5,0-5 Years,Hispanic or Latino,< 30 Days,New_York
82,3,0-5 Years,Hispanic or Latino,30 to < 90 Days,New_York
83,0,0-5 Years,Hispanic or Latino,90 Days to < 6 Months,New_York
84,2,0-5 Years,Hispanic or Latino,6 Months to < 1 Year,New_York
85,4,0-5 Years,Hispanic or Latino,1 Year to < 2 Years,New_York
86,0,0-5 Years,Hispanic or Latino,2 Years to < 3 Years,New_York
87,1,0-5 Years,Hispanic or Latino,3 Years to < 5 Years,New_York
88,0,0-5 Years,Hispanic or Latino,5 or More Years,New_York
89,3,0-5 Years,Asian alone,All Time,New_York
90,1,0-5 Years,Asian alone,< 30 Days,New_York
91,2,0-5 Years,Asian alone,30 to < 90 Days,New_York
92,0,0-5 Years,Asian alone,90 Days to < 6 Months,New_York
93,0,0-5 Years,Asian alone,6 Months to < 1 Year,New_York
94,0,0-5 Years,Asian alone,1 Year to < 2 Years,New_York
95,0,0-5 Years,Asian alone,2 Years to < 3 Years,New_York
96,0,0-5 Years,Asian alone,3 Years to < 5 Years,New_York
97,0,0-5 Years,American Indian and Alaska Native alone,All Time,New_York
98,0,0-5 Years,American Indian and Alaska Native alone,< 30 Days,New_York
99,0,0-5 Years,American Indian and Alaska Native alone,30 to < 90 Days,New_York
100,0,0-5 Years,American Indian and Alaska Native alone,90 Days to < 6 Months,New_York
101,0,0-5 Years,American Indian and Alaska Native alone,6 Months to < 1 Year,New_York
102,0,0-5 Years,American Indian and Alaska Native alone,1 Year to < 2 Years,New_York
103,0,0-5 Years,Native Hawaiian and Other Pacific Islander alone,All Time,New_York
104,0,0-5 Years,Native Hawaiian and Other Pacific Islander alone,6 Months to < 1 Year,New_York
105,0,0-5 Years,Native Hawaiian and Other Pacific Islander alone,1 Year to < 2 Years,New_York
106,0,0-5 Years,Population of two or more races:,All Time,New_York
107,0,0-5 Years,Population of two or more races:,< 30 Days,New_York
108,0,0-5 Years,Population of two or more races:,30 to < 90 Days,New_York
109,0,0-5 Years,Population of two or more races:,90 Days to < 6 Months,New_York
110,0,0-5 Years,Population of two or more races:,6 Months to < 1 Year,New_York
111,0,0-5 Years,Population of two or more races:,1 Year to < 2 Years,New_York
112,0,0-5 Years,Population of two or more races:,2 Years to < 3 Years,New_York
113,10,6-10 Years,White alone,All Time,New_York
114,0,6-10 Years,White alone,< 30 Days,New_York
115,2,6-10 Years,White alone,30 to < 90 Days,New_York
116,1,6-10 Years,White alone,90 Days to < 6 Months,New_York
117,2,6-10 Years,White alone,6 Months to < 1 Year,New_York
118,2,6-10 Years,White alone,1 Year to < 2 Years,New_York
119,0,6-10 Years,White alone,2 Years to < 3 Years,New_York
120,2,6-10 Years,White alone,3 Years to < 5 Years,New_York
121,1,6-10 Years,White alone,5 or More Years,New_York
122,4,6-10 Years,Black or African American alone,All Time,New_York
123,0,6-10 Years,Black or African American alone,< 30 Days,New_York
124,1,6-10 Years,Black or African American alone,30 to < 90 Days,New_York
125,2,6-10 Years,Black or African American alone,90 Days to < 6 Months,New_York
126,0,6-10 Years,Black or African American alone,6 Months to < 1 Year,New_York
127,0,6-10 Years,Black or African American alone,1 Year to < 2 Years,New_York
128,0,6-10 Years,Black or African American alone,2 Years to < 3 Years,New_York
129,1,6-10 Years,Black or African American alone,3 Years to < 5 Years,New_York
130,0,6-10 Years,Black or African American alone,5 or More Years,New_York
131,12,6-10 Years,Hispanic or Latino,All Time,New_York
132,0,6-10 Years,Hispanic or Latino,< 30 Days,New_York
133,3,6-10 Years,Hispanic or Latino,30 to < 90 Days,New_York
134,1,6-10 Years,Hispanic or Latino,90 Days to < 6 Months,New_York
135,0,6-10 Years,Hispanic or Latino,6 Months to < 1 Year,New_York
136,2,6-10 Years,Hispanic or Latino,1 Year to < 2 Years,New_York
137,1,6-10 Years,Hispanic or Latino,2 Years to < 3 Years,New_York
138,3,6-10 Years,Hispanic or Latino,3 Years to < 5 Years,New_York
139,2,6-10 Years,Hispanic or Latino,5 or More Years,New_York
140,3,6-10 Years,Asian alone,All Time,New_York
141,2,6-10 Years,Asian alone,< 30 Days,New_York
142,0,6-10 Years,Asian alone,30 to < 90 Days,New_York
143,0,6-10 Years,Asian alone,6 Months to < 1 Year,New_York
144,0,6-10 Years,Asian alone,1 Year to < 2 Years,New_York
145,0,6-10 Years,Asian alone,2 Years to < 3 Years,New_York
146,0,6-10 Years,Asian alone,3 Years to < 5 Years,New_York
147,1,6-10 Years,Asian alone,5 or More Years,New_York
148,0,6-10 Years,American Indian and Alaska Native alone,All Time,New_York
149,0,6-10 Years,American Indian and Alaska Native alone,1 Year to < 2 Years,New_York
150,0,6-10 Years,American Indian and Alaska Native alone,3 Years to < 5 Years,New_York
151,0,6-10 Years,Native Hawaiian and Other Pacific Islander alone,All Time,New_York
152,0,6-10 Years,Native Hawaiian and Other Pacific Islander alone,6 Months to < 1 Year,New_York
153,0,6-10 Years,Native Hawaiian and Other Pacific Islander alone,1 Year to < 2 Years,New_York
154,0,6-10 Years,Native Hawaiian and Other Pacific Islander alone,3 Years to < 5 Years,New_York
155,0,6-10 Years,Population of two or more races:,All Time,New_York
156,0,6-10 Years,Population of two or more races:,< 30 Days,New_York
157,0,6-10 Years,Population of two or more races:,90 Days to < 6 Months,New_York
158,0,6-10 Years,Population of two or more races:,6 Months to < 1 Year,New_York
159,0,6-10 Years,Population of two or more races:,1 Year to < 2 Years,New_York
160,0,6-10 Years,Population of two or more races:,2 Years to < 3 Years,New_York
161,0,6-10 Years,Population of two or more races:,3 Years to < 5 Years,New_York
162,0,6-10 Years,Population of two or more races:,5 or More Years,New_York
163,22,11-17 Years,White alone,All Time,New_York
164,0,11-17 Years,White alone,< 30 Days,New_York
165,4,11-17 Years,White alone,30 to < 90 Days,New_York
166,2,11-17 Years,White alone,90 Days to < 6 Months,New_York
167,7,11-17 Years,White alone,6 Months to < 1 Year,New_York
168,5,11-17 Years,White alone,1 Year to < 2 Years,New_York
169,1,11-17 Years,White alone,2 Years to < 3 Years,New_York
170,0,11-17 Years,White alone,3 Years to < 5 Years,New_York
171,3,11-17 Years,White alone,5 or More Years,New_York
172,20,11-17 Years,Black or African American alone,All Time,New_York
173,0,11-17 Years,Black or African American alone,< 30 Days,New_York
174,2,11-17 Years,Black or African American alone,30 to < 90 Days,New_York
175,4,11-17 Years,Black or African American alone,90 Days to < 6 Months,New_York
176,3,11-17 Years,Black or African American alone,6 Months to < 1 Year,New_York
177,2,11-17 Years,Black or African American alone,1 Year to < 2 Years,New_York
178,2,11-17 Years,Black or African American alone,2 Years to < 3 Years,New_York
179,3,11-17 Years,Black or African American alone,3 Years to < 5 Years,New_York
180,4,11-17 Years,Black or African American alone,5 or More Years,New_York
181,24,11-17 Years,Hispanic or Latino,All Time,New_York
182,1,11-17 Years,Hispanic or Latino,< 30 Days,New_York
183,2,11-17 Years,Hispanic or Latino,30 to < 90 Days,New_York
184,4,11-17 Years,Hispanic or Latino,90 Days to < 6 Months,New_York
185,3,11-17 Years,Hispanic or Latino,6 Months to < 1 Year,New_York
