,People,Age,Ethnicities,Wait Time,State
0,"1,344",All Ages,White alone,All Time,North_Carolina
1,79,All Ages,White alone,< 30 Days,North_Carolina
2,109,All Ages,White alone,30 to < 90 Days,North_Carolina
3,121,All Ages,White alone,90 Days to < 6 Months,North_Carolina
4,249,All Ages,White alone,6 Months to < 1 Year,North_Carolina
5,297,All Ages,White alone,1 Year to < 2 Years,North_Carolina
6,184,All Ages,White alone,2 Years to < 3 Years,North_Carolina
7,188,All Ages,White alone,3 Years to < 5 Years,North_Carolina
8,117,All Ages,White alone,5 or More Years,North_Carolina
9,"1,988",All Ages,Black or African American alone,All Time,North_Carolina
10,97,All Ages,Black or African American alone,< 30 Days,North_Carolina
11,157,All Ages,Black or African American alone,30 to < 90 Days,North_Carolina
12,179,All Ages,Black or African American alone,90 Days to < 6 Months,North_Carolina
13,333,All Ages,Black or African American alone,6 Months to < 1 Year,North_Carolina
14,470,All Ages,Black or African American alone,1 Year to < 2 Years,North_Carolina
15,289,All Ages,Black or African American alone,2 Years to < 3 Years,North_Carolina
16,309,All Ages,Black or African American alone,3 Years to < 5 Years,North_Carolina
17,154,All Ages,Black or African American alone,5 or More Years,North_Carolina
18,203,All Ages,Hispanic or Latino,All Time,North_Carolina
19,9,All Ages,Hispanic or Latino,< 30 Days,North_Carolina
20,19,All Ages,Hispanic or Latino,30 to < 90 Days,North_Carolina
21,29,All Ages,Hispanic or Latino,90 Days to < 6 Months,North_Carolina
22,28,All Ages,Hispanic or Latino,6 Months to < 1 Year,North_Carolina
23,46,All Ages,Hispanic or Latino,1 Year to < 2 Years,North_Carolina
24,27,All Ages,Hispanic or Latino,2 Years to < 3 Years,North_Carolina
25,25,All Ages,Hispanic or Latino,3 Years to < 5 Years,North_Carolina
26,20,All Ages,Hispanic or Latino,5 or More Years,North_Carolina
27,119,All Ages,Asian alone,All Time,North_Carolina
28,5,All Ages,Asian alone,< 30 Days,North_Carolina
29,6,All Ages,Asian alone,30 to < 90 Days,North_Carolina
30,13,All Ages,Asian alone,90 Days to < 6 Months,North_Carolina
31,25,All Ages,Asian alone,6 Months to < 1 Year,North_Carolina
32,35,All Ages,Asian alone,1 Year to < 2 Years,North_Carolina
33,13,All Ages,Asian alone,2 Years to < 3 Years,North_Carolina
34,14,All Ages,Asian alone,3 Years to < 5 Years,North_Carolina
35,8,All Ages,Asian alone,5 or More Years,North_Carolina
36,51,All Ages,American Indian and Alaska Native alone,All Time,North_Carolina
37,4,All Ages,American Indian and Alaska Native alone,< 30 Days,North_Carolina
38,2,All Ages,American Indian and Alaska Native alone,30 to < 90 Days,North_Carolina
39,9,All Ages,American Indian and Alaska Native alone,90 Days to < 6 Months,North_Carolina
40,8,All Ages,American Indian and Alaska Native alone,6 Months to < 1 Year,North_Carolina
41,9,All Ages,American Indian and Alaska Native alone,1 Year to < 2 Years,North_Carolina
42,6,All Ages,American Indian and Alaska Native alone,2 Years to < 3 Years,North_Carolina
43,9,All Ages,American Indian and Alaska Native alone,3 Years to < 5 Years,North_Carolina
44,4,All Ages,American Indian and Alaska Native alone,5 or More Years,North_Carolina
45,8,All Ages,Native Hawaiian and Other Pacific Islander alone,All Time,North_Carolina
46,1,All Ages,Native Hawaiian and Other Pacific Islander alone,< 30 Days,North_Carolina
47,1,All Ages,Native Hawaiian and Other Pacific Islander alone,30 to < 90 Days,North_Carolina
48,0,All Ages,Native Hawaiian and Other Pacific Islander alone,90 Days to < 6 Months,North_Carolina
49,2,All Ages,Native Hawaiian and Other Pacific Islander alone,6 Months to < 1 Year,North_Carolina
50,3,All Ages,Native Hawaiian and Other Pacific Islander alone,1 Year to < 2 Years,North_Carolina
51,1,All Ages,Native Hawaiian and Other Pacific Islander alone,2 Years to < 3 Years,North_Carolina
52,0,All Ages,Native Hawaiian and Other Pacific Islander alone,3 Years to < 5 Years,North_Carolina
53,0,All Ages,Native Hawaiian and Other Pacific Islander alone,5 or More Years,North_Carolina
54,75,All Ages,Population of two or more races:,All Time,North_Carolina
55,3,All Ages,Population of two or more races:,< 30 Days,North_Carolina
56,8,All Ages,Population of two or more races:,30 to < 90 Days,North_Carolina
57,5,All Ages,Population of two or more races:,90 Days to < 6 Months,North_Carolina
58,12,All Ages,Population of two or more races:,6 Months to < 1 Year,North_Carolina
59,8,All Ages,Population of two or more races:,1 Year to < 2 Years,North_Carolina
60,12,All Ages,Population of two or more races:,2 Years to < 3 Years,North_Carolina
