,People,Age,Ethnicities,Wait Time,State
0,130,All Ages,White alone,All Time,North_Dakota
1,7,All Ages,White alone,< 30 Days,North_Dakota
2,17,All Ages,White alone,30 to < 90 Days,North_Dakota
3,9,All Ages,White alone,90 Days to < 6 Months,North_Dakota
4,19,All Ages,White alone,6 Months to < 1 Year,North_Dakota
5,28,All Ages,White alone,1 Year to < 2 Years,North_Dakota
6,15,All Ages,White alone,2 Years to < 3 Years,North_Dakota
7,21,All Ages,White alone,3 Years to < 5 Years,North_Dakota
8,14,All Ages,White alone,5 or More Years,North_Dakota
9,10,All Ages,Black or African American alone,All Time,North_Dakota
10,1,All Ages,Black or African American alone,< 30 Days,North_Dakota
11,0,All Ages,Black or African American alone,30 to < 90 Days,North_Dakota
12,0,All Ages,Black or African American alone,90 Days to < 6 Months,North_Dakota
13,1,All Ages,Black or African American alone,6 Months to < 1 Year,North_Dakota
14,2,All Ages,Black or African American alone,1 Year to < 2 Years,North_Dakota
15,0,All Ages,Black or African American alone,2 Years to < 3 Years,North_Dakota
16,1,All Ages,Black or African American alone,3 Years to < 5 Years,North_Dakota
17,5,All Ages,Black or African American alone,5 or More Years,North_Dakota
18,4,All Ages,Hispanic or Latino,All Time,North_Dakota
19,0,All Ages,Hispanic or Latino,< 30 Days,North_Dakota
20,0,All Ages,Hispanic or Latino,30 to < 90 Days,North_Dakota
21,0,All Ages,Hispanic or Latino,90 Days to < 6 Months,North_Dakota
22,0,All Ages,Hispanic or Latino,6 Months to < 1 Year,North_Dakota
23,3,All Ages,Hispanic or Latino,1 Year to < 2 Years,North_Dakota
24,0,All Ages,Hispanic or Latino,2 Years to < 3 Years,North_Dakota
25,0,All Ages,Hispanic or Latino,3 Years to < 5 Years,North_Dakota
26,1,All Ages,Hispanic or Latino,5 or More Years,North_Dakota
27,2,All Ages,Asian alone,All Time,North_Dakota
28,0,All Ages,Asian alone,< 30 Days,North_Dakota
29,0,All Ages,Asian alone,30 to < 90 Days,North_Dakota
30,0,All Ages,Asian alone,90 Days to < 6 Months,North_Dakota
31,0,All Ages,Asian alone,6 Months to < 1 Year,North_Dakota
32,0,All Ages,Asian alone,1 Year to < 2 Years,North_Dakota
33,2,All Ages,Asian alone,2 Years to < 3 Years,North_Dakota
34,0,All Ages,Asian alone,3 Years to < 5 Years,North_Dakota
35,0,All Ages,Asian alone,5 or More Years,North_Dakota
