,People,Age,Ethnicities,Wait Time,State
0,"1,621",All Ages,White alone,All Time,Ohio
1,115,All Ages,White alone,< 30 Days,Ohio
2,165,All Ages,White alone,30 to < 90 Days,Ohio
3,156,All Ages,White alone,90 Days to < 6 Months,Ohio
4,291,All Ages,White alone,6 Months to < 1 Year,Ohio
5,388,All Ages,White alone,1 Year to < 2 Years,Ohio
6,209,All Ages,White alone,2 Years to < 3 Years,Ohio
7,196,All Ages,White alone,3 Years to < 5 Years,Ohio
8,101,All Ages,White alone,5 or More Years,Ohio
9,803,All Ages,Black or African American alone,All Time,Ohio
10,41,All Ages,Black or African American alone,< 30 Days,Ohio
11,60,All Ages,Black or African American alone,30 to < 90 Days,Ohio
12,66,All Ages,Black or African American alone,90 Days to < 6 Months,Ohio
13,120,All Ages,Black or African American alone,6 Months to < 1 Year,Ohio
14,186,All Ages,Black or African American alone,1 Year to < 2 Years,Ohio
15,125,All Ages,Black or African American alone,2 Years to < 3 Years,Ohio
16,116,All Ages,Black or African American alone,3 Years to < 5 Years,Ohio
17,89,All Ages,Black or African American alone,5 or More Years,Ohio
18,67,All Ages,Hispanic or Latino,All Time,Ohio
19,5,All Ages,Hispanic or Latino,< 30 Days,Ohio
20,5,All Ages,Hispanic or Latino,30 to < 90 Days,Ohio
21,5,All Ages,Hispanic or Latino,90 Days to < 6 Months,Ohio
22,16,All Ages,Hispanic or Latino,6 Months to < 1 Year,Ohio
23,13,All Ages,Hispanic or Latino,1 Year to < 2 Years,Ohio
24,10,All Ages,Hispanic or Latino,2 Years to < 3 Years,Ohio
25,10,All Ages,Hispanic or Latino,3 Years to < 5 Years,Ohio
26,3,All Ages,Hispanic or Latino,5 or More Years,Ohio
27,51,All Ages,Asian alone,All Time,Ohio
28,3,All Ages,Asian alone,< 30 Days,Ohio
29,2,All Ages,Asian alone,30 to < 90 Days,Ohio
30,5,All Ages,Asian alone,90 Days to < 6 Months,Ohio
31,7,All Ages,Asian alone,6 Months to < 1 Year,Ohio
32,14,All Ages,Asian alone,1 Year to < 2 Years,Ohio
33,9,All Ages,Asian alone,2 Years to < 3 Years,Ohio
34,8,All Ages,Asian alone,3 Years to < 5 Years,Ohio
35,3,All Ages,Asian alone,5 or More Years,Ohio
36,2,All Ages,American Indian and Alaska Native alone,All Time,Ohio
37,0,All Ages,American Indian and Alaska Native alone,< 30 Days,Ohio
38,0,All Ages,American Indian and Alaska Native alone,30 to < 90 Days,Ohio
39,0,All Ages,American Indian and Alaska Native alone,90 Days to < 6 Months,Ohio
40,0,All Ages,American Indian and Alaska Native alone,6 Months to < 1 Year,Ohio
41,1,All Ages,American Indian and Alaska Native alone,1 Year to < 2 Years,Ohio
42,0,All Ages,American Indian and Alaska Native alone,2 Years to < 3 Years,Ohio
43,1,All Ages,American Indian and Alaska Native alone,3 Years to < 5 Years,Ohio
44,0,All Ages,American Indian and Alaska Native alone,5 or More Years,Ohio
45,3,All Ages,Native Hawaiian and Other Pacific Islander alone,All Time,Ohio
46,0,All Ages,Native Hawaiian and Other Pacific Islander alone,< 30 Days,Ohio
47,1,All Ages,Native Hawaiian and Other Pacific Islander alone,30 to < 90 Days,Ohio
48,0,All Ages,Native Hawaiian and Other Pacific Islander alone,90 Days to < 6 Months,Ohio
49,0,All Ages,Native Hawaiian and Other Pacific Islander alone,6 Months to < 1 Year,Ohio
50,0,All Ages,Native Hawaiian and Other Pacific Islander alone,1 Year to < 2 Years,Ohio
51,1,All Ages,Native Hawaiian and Other Pacific Islander alone,2 Years to < 3 Years,Ohio
52,1,All Ages,Native Hawaiian and Other Pacific Islander alone,3 Years to < 5 Years,Ohio
53,0,All Ages,Native Hawaiian and Other Pacific Islander alone,5 or More Years,Ohio
54,5,All Ages,Population of two or more races:,All Time,Ohio
55,0,All Ages,Population of two or more races:,< 30 Days,Ohio
56,1,All Ages,Population of two or more races:,30 to < 90 Days,Ohio
57,1,All Ages,Population of two or more races:,90 Days to < 6 Months,Ohio
58,0,All Ages,Population of two or more races:,6 Months to < 1 Year,Ohio
59,3,All Ages,Population of two or more races:,1 Year to < 2 Years,Ohio
60,0,All Ages,Population of two or more races:,2 Years to < 3 Years,Ohio
61,0,All Ages,Population of two or more races:,3 Years to < 5 Years,Ohio
62,0,All Ages,Population of two or more races:,5 or More Years,Ohio
63,13,0-5 Years,White alone,All Time,Ohio
64,0,0-5 Years,White alone,< 30 Days,Ohio
65,4,0-5 Years,White alone,30 to < 90 Days,Ohio
66,1,0-5 Years,White alone,90 Days to < 6 Months,Ohio
67,5,0-5 Years,White alone,6 Months to < 1 Year,Ohio
68,1,0-5 Years,White alone,1 Year to < 2 Years,Ohio
69,0,0-5 Years,White alone,2 Years to < 3 Years,Ohio
70,2,0-5 Years,White alone,3 Years to < 5 Years,Ohio
71,0,0-5 Years,White alone,5 or More Years,Ohio
72,8,0-5 Years,Black or African American alone,All Time,Ohio
73,0,0-5 Years,Black or African American alone,< 30 Days,Ohio
74,0,0-5 Years,Black or African American alone,30 to < 90 Days,Ohio
75,5,0-5 Years,Black or African American alone,90 Days to < 6 Months,Ohio
76,0,0-5 Years,Black or African American alone,6 Months to < 1 Year,Ohio
77,0,0-5 Years,Black or African American alone,1 Year to < 2 Years,Ohio
78,3,0-5 Years,Black or African American alone,2 Years to < 3 Years,Ohio
79,0,0-5 Years,Black or African American alone,3 Years to < 5 Years,Ohio
80,2,0-5 Years,Hispanic or Latino,All Time,Ohio
81,0,0-5 Years,Hispanic or Latino,< 30 Days,Ohio
82,0,0-5 Years,Hispanic or Latino,30 to < 90 Days,Ohio
83,0,0-5 Years,Hispanic or Latino,90 Days to < 6 Months,Ohio
84,2,0-5 Years,Hispanic or Latino,6 Months to < 1 Year,Ohio
85,0,0-5 Years,Hispanic or Latino,1 Year to < 2 Years,Ohio
86,0,0-5 Years,Hispanic or Latino,2 Years to < 3 Years,Ohio
87,0,0-5 Years,Hispanic or Latino,3 Years to < 5 Years,Ohio
88,0,0-5 Years,Hispanic or Latino,5 or More Years,Ohio
89,0,0-5 Years,Asian alone,All Time,Ohio
90,0,0-5 Years,Asian alone,< 30 Days,Ohio
91,0,0-5 Years,Asian alone,30 to < 90 Days,Ohio
92,0,0-5 Years,Asian alone,90 Days to < 6 Months,Ohio
93,0,0-5 Years,Asian alone,6 Months to < 1 Year,Ohio
94,0,0-5 Years,Asian alone,1 Year to < 2 Years,Ohio
95,0,0-5 Years,Asian alone,2 Years to < 3 Years,Ohio
96,0,0-5 Years,Asian alone,3 Years to < 5 Years,Ohio
97,0,0-5 Years,American Indian and Alaska Native alone,All Time,Ohio
98,0,0-5 Years,American Indian and Alaska Native alone,< 30 Days,Ohio
99,0,0-5 Years,American Indian and Alaska Native alone,30 to < 90 Days,Ohio
100,0,0-5 Years,American Indian and Alaska Native alone,90 Days to < 6 Months,Ohio
101,0,0-5 Years,American Indian and Alaska Native alone,6 Months to < 1 Year,Ohio
102,0,0-5 Years,American Indian and Alaska Native alone,1 Year to < 2 Years,Ohio
103,0,0-5 Years,Native Hawaiian and Other Pacific Islander alone,All Time,Ohio
104,0,0-5 Years,Native Hawaiian and Other Pacific Islander alone,6 Months to < 1 Year,Ohio
105,0,0-5 Years,Native Hawaiian and Other Pacific Islander alone,1 Year to < 2 Years,Ohio
106,1,0-5 Years,Population of two or more races:,All Time,Ohio
107,0,0-5 Years,Population of two or more races:,< 30 Days,Ohio
108,1,0-5 Years,Population of two or more races:,30 to < 90 Days,Ohio
109,0,0-5 Years,Population of two or more races:,90 Days to < 6 Months,Ohio
110,0,0-5 Years,Population of two or more races:,6 Months to < 1 Year,Ohio
111,0,0-5 Years,Population of two or more races:,1 Year to < 2 Years,Ohio
112,0,0-5 Years,Population of two or more races:,2 Years to < 3 Years,Ohio
113,13,6-10 Years,White alone,All Time,Ohio
114,1,6-10 Years,White alone,< 30 Days,Ohio
115,1,6-10 Years,White alone,30 to < 90 Days,Ohio
116,4,6-10 Years,White alone,90 Days to < 6 Months,Ohio
117,1,6-10 Years,White alone,6 Months to < 1 Year,Ohio
118,2,6-10 Years,White alone,1 Year to < 2 Years,Ohio
119,1,6-10 Years,White alone,2 Years to < 3 Years,Ohio
120,2,6-10 Years,White alone,3 Years to < 5 Years,Ohio
121,1,6-10 Years,White alone,5 or More Years,Ohio
122,6,6-10 Years,Black or African American alone,All Time,Ohio
123,2,6-10 Years,Black or African American alone,< 30 Days,Ohio
124,1,6-10 Years,Black or African American alone,30 to < 90 Days,Ohio
125,1,6-10 Years,Black or African American alone,90 Days to < 6 Months,Ohio
126,0,6-10 Years,Black or African American alone,6 Months to < 1 Year,Ohio
127,1,6-10 Years,Black or African American alone,1 Year to < 2 Years,Ohio
128,0,6-10 Years,Black or African American alone,2 Years to < 3 Years,Ohio
129,1,6-10 Years,Black or African American alone,3 Years to < 5 Years,Ohio
130,0,6-10 Years,Black or African American alone,5 or More Years,Ohio
131,0,6-10 Years,Hispanic or Latino,All Time,Ohio
132,0,6-10 Years,Hispanic or Latino,< 30 Days,Ohio
133,0,6-10 Years,Hispanic or Latino,30 to < 90 Days,Ohio
134,0,6-10 Years,Hispanic or Latino,90 Days to < 6 Months,Ohio
135,0,6-10 Years,Hispanic or Latino,6 Months to < 1 Year,Ohio
136,0,6-10 Years,Hispanic or Latino,1 Year to < 2 Years,Ohio
137,0,6-10 Years,Hispanic or Latino,2 Years to < 3 Years,Ohio
138,0,6-10 Years,Hispanic or Latino,3 Years to < 5 Years,Ohio
139,0,6-10 Years,Hispanic or Latino,5 or More Years,Ohio
140,0,6-10 Years,Asian alone,All Time,Ohio
141,0,6-10 Years,Asian alone,< 30 Days,Ohio
142,0,6-10 Years,Asian alone,30 to < 90 Days,Ohio
143,0,6-10 Years,Asian alone,6 Months to < 1 Year,Ohio
144,0,6-10 Years,Asian alone,1 Year to < 2 Years,Ohio
145,0,6-10 Years,Asian alone,2 Years to < 3 Years,Ohio
146,0,6-10 Years,Asian alone,3 Years to < 5 Years,Ohio
147,0,6-10 Years,Asian alone,5 or More Years,Ohio
148,0,6-10 Years,American Indian and Alaska Native alone,All Time,Ohio
149,0,6-10 Years,American Indian and Alaska Native alone,1 Year to < 2 Years,Ohio
150,0,6-10 Years,American Indian and Alaska Native alone,3 Years to < 5 Years,Ohio
151,0,6-10 Years,Native Hawaiian and Other Pacific Islander alone,All Time,Ohio
152,0,6-10 Years,Native Hawaiian and Other Pacific Islander alone,6 Months to < 1 Year,Ohio
153,0,6-10 Years,Native Hawaiian and Other Pacific Islander alone,1 Year to < 2 Years,Ohio
154,0,6-10 Years,Native Hawaiian and Other Pacific Islander alone,3 Years to < 5 Years,Ohio
155,0,6-10 Years,Population of two or more races:,All Time,Ohio
156,0,6-10 Years,Population of two or more races:,< 30 Days,Ohio
157,0,6-10 Years,Population of two or more races:,90 Days to < 6 Months,Ohio
158,0,6-10 Years,Population of two or more races:,6 Months to < 1 Year,Ohio
159,0,6-10 Years,Population of two or more races:,1 Year to < 2 Years,Ohio
160,0,6-10 Years,Population of two or more races:,2 Years to < 3 Years,Ohio
161,0,6-10 Years,Population of two or more races:,3 Years to < 5 Years,Ohio
162,0,6-10 Years,Population of two or more races:,5 or More Years,Ohio
163,23,11-17 Years,White alone,All Time,Ohio
164,1,11-17 Years,White alone,< 30 Days,Ohio
165,5,11-17 Years,White alone,30 to < 90 Days,Ohio
166,2,11-17 Years,White alone,90 Days to < 6 Months,Ohio
167,10,11-17 Years,White alone,6 Months to < 1 Year,Ohio
168,4,11-17 Years,White alone,1 Year to < 2 Years,Ohio
169,1,11-17 Years,White alone,2 Years to < 3 Years,Ohio
170,0,11-17 Years,White alone,3 Years to < 5 Years,Ohio
171,0,11-17 Years,White alone,5 or More Years,Ohio
172,5,11-17 Years,Black or African American alone,All Time,Ohio
173,0,11-17 Years,Black or African American alone,< 30 Days,Ohio
174,0,11-17 Years,Black or African American alone,30 to < 90 Days,Ohio
175,1,11-17 Years,Black or African American alone,90 Days to < 6 Months,Ohio
176,0,11-17 Years,Black or African American alone,6 Months to < 1 Year,Ohio
177,2,11-17 Years,Black or African American alone,1 Year to < 2 Years,Ohio
178,1,11-17 Years,Black or African American alone,2 Years to < 3 Years,Ohio
179,0,11-17 Years,Black or African American alone,3 Years to < 5 Years,Ohio
180,1,11-17 Years,Black or African American alone,5 or More Years,Ohio
181,1,11-17 Years,Hispanic or Latino,All Time,Ohio
182,0,11-17 Years,Hispanic or Latino,< 30 Days,Ohio
183,0,11-17 Years,Hispanic or Latino,30 to < 90 Days,Ohio
184,0,11-17 Years,Hispanic or Latino,90 Days to < 6 Months,Ohio
185,1,11-17 Years,Hispanic or Latino,6 Months to < 1 Year,Ohio
186,0,11-17 Years,Hispanic or Latino,1 Year to < 2 Years,Ohio
187,0,11-17 Years,Hispanic or Latino,2 Years to < 3 Years,Ohio
188,0,11-17 Years,Hispanic or Latino,3 Years to < 5 Years,Ohio
189,0,11-17 Years,Hispanic or Latino,5 or More Years,Ohio
190,0,11-17 Years,Asian alone,All Time,Ohio
191,0,11-17 Years,Asian alone,< 30 Days,Ohio
192,0,11-17 Years,Asian alone,30 to < 90 Days,Ohio
193,0,11-17 Years,Asian alone,90 Days to < 6 Months,Ohio
194,0,11-17 Years,Asian alone,6 Months to < 1 Year,Ohio
195,0,11-17 Years,Asian alone,1 Year to < 2 Years,Ohio
196,0,11-17 Years,Asian alone,2 Years to < 3 Years,Ohio
