,People,Age,Ethnicities,Wait Time,State
0,"1,052",All Ages,White alone,All Time,Tennessee
1,62,All Ages,White alone,< 30 Days,Tennessee
2,95,All Ages,White alone,30 to < 90 Days,Tennessee
3,105,All Ages,White alone,90 Days to < 6 Months,Tennessee
4,208,All Ages,White alone,6 Months to < 1 Year,Tennessee
5,213,All Ages,White alone,1 Year to < 2 Years,Tennessee
6,153,All Ages,White alone,2 Years to < 3 Years,Tennessee
7,145,All Ages,White alone,3 Years to < 5 Years,Tennessee
8,71,All Ages,White alone,5 or More Years,Tennessee
9,909,All Ages,Black or African American alone,All Time,Tennessee
10,41,All Ages,Black or African American alone,< 30 Days,Tennessee
11,67,All Ages,Black or African American alone,30 to < 90 Days,Tennessee
12,84,All Ages,Black or African American alone,90 Days to < 6 Months,Tennessee
13,166,All Ages,Black or African American alone,6 Months to < 1 Year,Tennessee
14,190,All Ages,Black or African American alone,1 Year to < 2 Years,Tennessee
15,147,All Ages,Black or African American alone,2 Years to < 3 Years,Tennessee
16,140,All Ages,Black or African American alone,3 Years to < 5 Years,Tennessee
17,74,All Ages,Black or African American alone,5 or More Years,Tennessee
18,81,All Ages,Hispanic or Latino,All Time,Tennessee
19,4,All Ages,Hispanic or Latino,< 30 Days,Tennessee
20,5,All Ages,Hispanic or Latino,30 to < 90 Days,Tennessee
21,9,All Ages,Hispanic or Latino,90 Days to < 6 Months,Tennessee
22,13,All Ages,Hispanic or Latino,6 Months to < 1 Year,Tennessee
23,20,All Ages,Hispanic or Latino,1 Year to < 2 Years,Tennessee
24,15,All Ages,Hispanic or Latino,2 Years to < 3 Years,Tennessee
25,13,All Ages,Hispanic or Latino,3 Years to < 5 Years,Tennessee
26,2,All Ages,Hispanic or Latino,5 or More Years,Tennessee
27,56,All Ages,Asian alone,All Time,Tennessee
28,0,All Ages,Asian alone,< 30 Days,Tennessee
29,4,All Ages,Asian alone,30 to < 90 Days,Tennessee
30,6,All Ages,Asian alone,90 Days to < 6 Months,Tennessee
31,17,All Ages,Asian alone,6 Months to < 1 Year,Tennessee
32,15,All Ages,Asian alone,1 Year to < 2 Years,Tennessee
33,9,All Ages,Asian alone,2 Years to < 3 Years,Tennessee
34,4,All Ages,Asian alone,3 Years to < 5 Years,Tennessee
35,1,All Ages,Asian alone,5 or More Years,Tennessee
36,2,All Ages,American Indian and Alaska Native alone,All Time,Tennessee
37,0,All Ages,American Indian and Alaska Native alone,< 30 Days,Tennessee
38,0,All Ages,American Indian and Alaska Native alone,30 to < 90 Days,Tennessee
39,0,All Ages,American Indian and Alaska Native alone,90 Days to < 6 Months,Tennessee
40,0,All Ages,American Indian and Alaska Native alone,6 Months to < 1 Year,Tennessee
41,0,All Ages,American Indian and Alaska Native alone,1 Year to < 2 Years,Tennessee
42,0,All Ages,American Indian and Alaska Native alone,2 Years to < 3 Years,Tennessee
43,1,All Ages,American Indian and Alaska Native alone,3 Years to < 5 Years,Tennessee
44,1,All Ages,American Indian and Alaska Native alone,5 or More Years,Tennessee
45,2,All Ages,Native Hawaiian and Other Pacific Islander alone,All Time,Tennessee
46,0,All Ages,Native Hawaiian and Other Pacific Islander alone,< 30 Days,Tennessee
47,0,All Ages,Native Hawaiian and Other Pacific Islander alone,30 to < 90 Days,Tennessee
48,0,All Ages,Native Hawaiian and Other Pacific Islander alone,90 Days to < 6 Months,Tennessee
49,0,All Ages,Native Hawaiian and Other Pacific Islander alone,6 Months to < 1 Year,Tennessee
50,1,All Ages,Native Hawaiian and Other Pacific Islander alone,1 Year to < 2 Years,Tennessee
51,1,All Ages,Native Hawaiian and Other Pacific Islander alone,2 Years to < 3 Years,Tennessee
52,0,All Ages,Native Hawaiian and Other Pacific Islander alone,3 Years to < 5 Years,Tennessee
53,0,All Ages,Native Hawaiian and Other Pacific Islander alone,5 or More Years,Tennessee
54,47,All Ages,Population of two or more races:,All Time,Tennessee
55,3,All Ages,Population of two or more races:,< 30 Days,Tennessee
56,5,All Ages,Population of two or more races:,30 to < 90 Days,Tennessee
57,4,All Ages,Population of two or more races:,90 Days to < 6 Months,Tennessee
58,11,All Ages,Population of two or more races:,6 Months to < 1 Year,Tennessee
59,11,All Ages,Population of two or more races:,1 Year to < 2 Years,Tennessee
