,People,Age,Ethnicities,Wait Time,State
0,"3,078",All Ages,White alone,All Time,Texas
1,154,All Ages,White alone,< 30 Days,Texas
2,353,All Ages,White alone,30 to < 90 Days,Texas
3,301,All Ages,White alone,90 Days to < 6 Months,Texas
4,562,All Ages,White alone,6 Months to < 1 Year,Texas
5,745,All Ages,White alone,1 Year to < 2 Years,Texas
6,363,All Ages,White alone,2 Years to < 3 Years,Texas
7,378,All Ages,White alone,3 Years to < 5 Years,Texas
8,222,All Ages,White alone,5 or More Years,Texas
9,"2,795",All Ages,Black or African American alone,All Time,Texas
10,110,All Ages,Black or African American alone,< 30 Days,Texas
11,211,All Ages,Black or African American alone,30 to < 90 Days,Texas
12,225,All Ages,Black or African American alone,90 Days to < 6 Months,Texas
13,428,All Ages,Black or African American alone,6 Months to < 1 Year,Texas
14,617,All Ages,Black or African American alone,1 Year to < 2 Years,Texas
15,372,All Ages,Black or African American alone,2 Years to < 3 Years,Texas
16,492,All Ages,Black or African American alone,3 Years to < 5 Years,Texas
17,340,All Ages,Black or African American alone,5 or More Years,Texas
18,"4,675",All Ages,Hispanic or Latino,All Time,Texas
19,197,All Ages,Hispanic or Latino,< 30 Days,Texas
20,403,All Ages,Hispanic or Latino,30 to < 90 Days,Texas
21,419,All Ages,Hispanic or Latino,90 Days to < 6 Months,Texas
22,793,All Ages,Hispanic or Latino,6 Months to < 1 Year,Texas
23,"1,136",All Ages,Hispanic or Latino,1 Year to < 2 Years,Texas
24,643,All Ages,Hispanic or Latino,2 Years to < 3 Years,Texas
25,780,All Ages,Hispanic or Latino,3 Years to < 5 Years,Texas
26,304,All Ages,Hispanic or Latino,5 or More Years,Texas
27,545,All Ages,Asian alone,All Time,Texas
28,25,All Ages,Asian alone,< 30 Days,Texas
29,39,All Ages,Asian alone,30 to < 90 Days,Texas
30,36,All Ages,Asian alone,90 Days to < 6 Months,Texas
31,102,All Ages,Asian alone,6 Months to < 1 Year,Texas
32,141,All Ages,Asian alone,1 Year to < 2 Years,Texas
33,70,All Ages,Asian alone,2 Years to < 3 Years,Texas
34,98,All Ages,Asian alone,3 Years to < 5 Years,Texas
35,34,All Ages,Asian alone,5 or More Years,Texas
36,32,All Ages,American Indian and Alaska Native alone,All Time,Texas
37,0,All Ages,American Indian and Alaska Native alone,< 30 Days,Texas
38,1,All Ages,American Indian and Alaska Native alone,30 to < 90 Days,Texas
39,4,All Ages,American Indian and Alaska Native alone,90 Days to < 6 Months,Texas
40,7,All Ages,American Indian and Alaska Native alone,6 Months to < 1 Year,Texas
41,3,All Ages,American Indian and Alaska Native alone,1 Year to < 2 Years,Texas
42,5,All Ages,American Indian and Alaska Native alone,2 Years to < 3 Years,Texas
43,8,All Ages,American Indian and Alaska Native alone,3 Years to < 5 Years,Texas
44,4,All Ages,American Indian and Alaska Native alone,5 or More Years,Texas
45,24,All Ages,Native Hawaiian and Other Pacific Islander alone,All Time,Texas
46,0,All Ages,Native Hawaiian and Other Pacific Islander alone,< 30 Days,Texas
47,3,All Ages,Native Hawaiian and Other Pacific Islander alone,30 to < 90 Days,Texas
48,2,All Ages,Native Hawaiian and Other Pacific Islander alone,90 Days to < 6 Months,Texas
49,1,All Ages,Native Hawaiian and Other Pacific Islander alone,6 Months to < 1 Year,Texas
50,3,All Ages,Native Hawaiian and Other Pacific Islander alone,1 Year to < 2 Years,Texas
51,6,All Ages,Native Hawaiian and Other Pacific Islander alone,2 Years to < 3 Years,Texas
