,People,Age,Ethnicities,Wait Time,State
0,419,All Ages,White alone,All Time,Utah
1,27,All Ages,White alone,< 30 Days,Utah
2,60,All Ages,White alone,30 to < 90 Days,Utah
3,53,All Ages,White alone,90 Days to < 6 Months,Utah
4,81,All Ages,White alone,6 Months to < 1 Year,Utah
5,92,All Ages,White alone,1 Year to < 2 Years,Utah
6,47,All Ages,White alone,2 Years to < 3 Years,Utah
7,49,All Ages,White alone,3 Years to < 5 Years,Utah
8,10,All Ages,White alone,5 or More Years,Utah
9,15,All Ages,Black or African American alone,All Time,Utah
10,3,All Ages,Black or African American alone,< 30 Days,Utah
11,2,All Ages,Black or African American alone,30 to < 90 Days,Utah
12,1,All Ages,Black or African American alone,90 Days to < 6 Months,Utah
13,3,All Ages,Black or African American alone,6 Months to < 1 Year,Utah
14,3,All Ages,Black or African American alone,1 Year to < 2 Years,Utah
15,2,All Ages,Black or African American alone,2 Years to < 3 Years,Utah
16,1,All Ages,Black or African American alone,3 Years to < 5 Years,Utah
17,0,All Ages,Black or African American alone,5 or More Years,Utah
18,112,All Ages,Hispanic or Latino,All Time,Utah
19,7,All Ages,Hispanic or Latino,< 30 Days,Utah
20,10,All Ages,Hispanic or Latino,30 to < 90 Days,Utah
21,14,All Ages,Hispanic or Latino,90 Days to < 6 Months,Utah
22,22,All Ages,Hispanic or Latino,6 Months to < 1 Year,Utah
23,33,All Ages,Hispanic or Latino,1 Year to < 2 Years,Utah
24,16,All Ages,Hispanic or Latino,2 Years to < 3 Years,Utah
25,8,All Ages,Hispanic or Latino,3 Years to < 5 Years,Utah
26,2,All Ages,Hispanic or Latino,5 or More Years,Utah
27,20,All Ages,Asian alone,All Time,Utah
28,1,All Ages,Asian alone,< 30 Days,Utah
29,4,All Ages,Asian alone,30 to < 90 Days,Utah
30,1,All Ages,Asian alone,90 Days to < 6 Months,Utah
31,2,All Ages,Asian alone,6 Months to < 1 Year,Utah
32,7,All Ages,Asian alone,1 Year to < 2 Years,Utah
33,2,All Ages,Asian alone,2 Years to < 3 Years,Utah
34,1,All Ages,Asian alone,3 Years to < 5 Years,Utah
35,2,All Ages,Asian alone,5 or More Years,Utah
36,19,All Ages,American Indian and Alaska Native alone,All Time,Utah
37,5,All Ages,American Indian and Alaska Native alone,< 30 Days,Utah
38,2,All Ages,American Indian and Alaska Native alone,30 to < 90 Days,Utah
39,1,All Ages,American Indian and Alaska Native alone,90 Days to < 6 Months,Utah
40,2,All Ages,American Indian and Alaska Native alone,6 Months to < 1 Year,Utah
41,7,All Ages,American Indian and Alaska Native alone,1 Year to < 2 Years,Utah
42,0,All Ages,American Indian and Alaska Native alone,2 Years to < 3 Years,Utah
43,2,All Ages,American Indian and Alaska Native alone,3 Years to < 5 Years,Utah
44,0,All Ages,American Indian and Alaska Native alone,5 or More Years,Utah
45,21,All Ages,Native Hawaiian and Other Pacific Islander alone,All Time,Utah
46,0,All Ages,Native Hawaiian and Other Pacific Islander alone,< 30 Days,Utah
47,2,All Ages,Native Hawaiian and Other Pacific Islander alone,30 to < 90 Days,Utah
48,3,All Ages,Native Hawaiian and Other Pacific Islander alone,90 Days to < 6 Months,Utah
49,5,All Ages,Native Hawaiian and Other Pacific Islander alone,6 Months to < 1 Year,Utah
50,5,All Ages,Native Hawaiian and Other Pacific Islander alone,1 Year to < 2 Years,Utah
51,2,All Ages,Native Hawaiian and Other Pacific Islander alone,2 Years to < 3 Years,Utah
52,3,All Ages,Native Hawaiian and Other Pacific Islander alone,3 Years to < 5 Years,Utah
53,1,All Ages,Native Hawaiian and Other Pacific Islander alone,5 or More Years,Utah
54,7,All Ages,Population of two or more races:,All Time,Utah
55,1,All Ages,Population of two or more races:,< 30 Days,Utah
56,0,All Ages,Population of two or more races:,30 to < 90 Days,Utah
57,1,All Ages,Population of two or more races:,90 Days to < 6 Months,Utah
58,1,All Ages,Population of two or more races:,6 Months to < 1 Year,Utah
